config_id,entry_date,n_positions,ret5x_pct,month
C000,2025-03-03,10,-4.9033544043328705,2025-03
C000,2025-03-04,10,13.066600775737381,2025-03
C000,2025-03-05,10,12.757903126748438,2025-03
C000,2025-03-06,10,-1.7762198477173807,2025-03
C000,2025-03-07,10,4.634935624276549,2025-03
C000,2025-03-10,10,-6.459175213752189,2025-03
C000,2025-03-11,10,4.527047117074211,2025-03
C000,2025-03-12,10,-1.8208746410663172,2025-03
C000,2025-03-13,10,1.054819763676629,2025-03
C000,2025-03-17,10,-3.1633805290093413,2025-03
C000,2025-03-18,10,4.71554436556102,2025-03
C000,2025-03-19,10,3.147955784003903,2025-03
C000,2025-03-20,10,-3.091193981242446,2025-03
C000,2025-03-21,10,12.410996142753056,2025-03
C000,2025-03-24,10,-1.5867222309927709,2025-03
C000,2025-03-25,10,-4.411926615404655,2025-03
C000,2025-03-26,10,-9.55106002158696,2025-03
C000,2025-03-27,10,0.7879994998613364,2025-03
C000,2025-03-28,10,0.42987947972376594,2025-03
C000,2025-04-01,10,-7.875166947709255,2025-04
C000,2025-04-02,10,3.393656049347704,2025-04
C000,2025-04-03,10,10.11950656783836,2025-04
C000,2025-04-04,10,-14.117275238533633,2025-04
C000,2025-04-07,10,26.18039789011551,2025-04
C000,2025-04-08,10,7.046874639655543,2025-04
C000,2025-04-09,10,-7.114328191924912,2025-04
C000,2025-04-11,10,-3.8243806040256123,2025-04
C000,2025-04-15,10,10.681036932352711,2025-04
C000,2025-04-16,10,4.271881822240896,2025-04
C000,2025-04-17,10,2.9305830008573617,2025-04
C000,2025-04-21,10,5.129096839858926,2025-04
C000,2025-04-22,10,3.6260190583237426,2025-04
C000,2025-04-23,10,-0.9514215051625863,2025-04
C000,2025-04-24,10,-5.089195631447463,2025-04
C000,2025-04-25,10,-11.961556663256182,2025-04
C000,2025-04-28,10,0.5151430153834013,2025-04
C000,2025-04-29,10,2.8807077079849974,2025-04
C000,2025-04-30,10,-4.3241641775414505,2025-04
C000,2025-05-02,10,-1.1982931930013714,2025-05
C000,2025-05-05,10,2.9978681509464087,2025-05
C000,2025-05-06,10,-15.136426328568302,2025-05
C000,2025-05-07,10,10.706670555287088,2025-05
C000,2025-05-08,10,-2.1530247791186943,2025-05
C000,2025-05-09,10,14.18239198851942,2025-05
C000,2025-05-12,10,1.0307916036456366,2025-05
C000,2025-05-13,10,5.930674017600374,2025-05
C000,2025-05-14,10,12.898851887560877,2025-05
C000,2025-05-15,10,15.577601240392909,2025-05
C000,2025-05-16,10,6.636624030876126,2025-05
C000,2025-05-19,10,0.3522869307758636,2025-05
C000,2025-05-20,10,-17.789460213494536,2025-05
C000,2025-05-21,10,5.261946191960282,2025-05
C000,2025-05-22,10,-0.167258658025482,2025-05
C000,2025-05-23,10,-1.4880997978336528,2025-05
C000,2025-05-26,10,-3.5871717695945495,2025-05
C000,2025-05-27,10,5.654798865138972,2025-05
C000,2025-05-28,10,-3.030373889867449,2025-05
C000,2025-05-29,10,-1.7322965174878802,2025-05
C000,2025-05-30,10,-2.7328384910527688,2025-05
C001,2025-03-03,10,-4.9033544043328705,2025-03
C001,2025-03-04,10,13.066600775737381,2025-03
C001,2025-03-05,10,12.757903126748438,2025-03
C001,2025-03-06,10,-1.7762198477173807,2025-03
C001,2025-03-07,10,4.634935624276549,2025-03
C001,2025-03-10,10,-6.459175213752189,2025-03
C001,2025-03-11,10,4.527047117074211,2025-03
