date,month,n_stocks,portfolio_ret_pct_cash,portfolio_pnl_rs,basket_MFE_pct,basket_MAE_pct,basket_EOD_pct,armed,capture_pct,hit_+1pct,basket_exit_reason
2024-06-07,2024-06,5,2.019,1987.0,2.743,-0.279,2.63,YES,74.0,YES,mixed/stops
2024-06-10,2024-06,5,-0.209,-204.0,0.589,-0.917,0.137,no,0.0,no,mixed/stops
2024-06-11,2024-06,5,0.554,546.0,0.814,-0.224,0.554,no,68.0,no,mixed/stops
2024-06-12,2024-06,5,-0.871,-841.0,0.189,-1.01,-0.448,no,0.0,no,mixed/stops
2024-06-13,2024-06,5,2.662,2633.0,4.734,-0.435,4.369,YES,56.0,YES,mixed/stops
2024-06-14,2024-06,5,3.777,3632.0,5.653,-0.697,4.816,YES,67.0,YES,mixed/stops
2024-06-18,2024-06,5,0.129,123.0,1.557,-0.502,0.744,no,8.0,no,mixed/stops
2024-06-19,2024-06,5,-0.996,-981.0,1.816,-0.477,1.122,no,0.0,no,mixed/stops
2024-06-20,2024-06,5,1.17,1153.0,4.01,-0.635,3.742,YES,29.0,YES,mixed/stops
2024-06-21,2024-06,5,2.961,2822.0,4.361,0.861,3.391,YES,68.0,YES,TRAIL
2024-06-24,2024-06,5,0.873,863.0,1.769,-0.021,1.69,no,49.0,no,mixed/stops
2024-06-25,2024-06,5,2.209,2166.0,4.664,0.034,3.431,YES,47.0,YES,TRAIL
2024-06-26,2024-06,5,2.337,2103.0,3.868,0.358,3.093,YES,60.0,YES,TRAIL
2024-06-27,2024-06,5,0.217,207.0,1.84,-0.691,-0.129,no,12.0,no,mixed/stops
2024-06-28,2024-06,5,2.694,2600.0,7.798,-0.286,7.075,YES,35.0,YES,TRAIL
2024-07-01,2024-07,5,1.079,987.0,2.252,-0.847,2.118,YES,48.0,YES,mixed/stops
2024-07-02,2024-07,5,0.29,275.0,1.135,-0.527,0.475,no,26.0,no,mixed/stops
2024-07-03,2024-07,5,3.46,3302.0,4.129,-0.365,3.507,YES,84.0,YES,mixed/stops
2024-07-04,2024-07,5,2.769,2749.0,2.97,-0.182,2.769,YES,93.0,YES,mixed/stops
2024-07-05,2024-07,5,1.568,1527.0,4.519,-1.402,3.611,YES,35.0,YES,TRAIL
2024-07-08,2024-07,5,-0.961,-950.0,2.05,-3.133,-2.391,YES,0.0,no,mixed/stops
2024-07-09,2024-07,5,3.492,3453.0,4.068,0.145,2.997,YES,86.0,YES,TRAIL
2024-07-10,2024-07,5,0.804,790.0,2.225,-2.164,2.038,YES,36.0,no,mixed/stops
2024-07-11,2024-07,5,2.1,2078.0,3.111,0.218,2.595,YES,68.0,YES,TRAIL
2024-07-12,2024-07,5,2.531,2499.0,5.762,0.322,3.845,YES,44.0,YES,TRAIL
2024-07-15,2024-07,5,0.244,242.0,1.848,-1.055,0.135,no,13.0,no,mixed/stops
2024-07-16,2024-07,5,1.71,1690.0,2.666,-0.469,2.26,YES,64.0,YES,TRAIL
2024-07-18,2024-07,5,2.179,2149.0,4.566,-0.038,4.031,YES,48.0,YES,TRAIL
2024-07-19,2024-07,5,-1.5,-1494.0,4.88,-0.897,1.313,YES,0.0,no,BASKET_STOP
2024-07-22,2024-07,5,0.322,316.0,4.472,0.81,2.499,YES,7.0,no,mixed/stops
2024-07-23,2024-07,5,-1.5,-1490.0,0.743,-6.734,-0.945,no,0.0,no,BASKET_STOP
2024-07-24,2024-07,5,1.754,1745.0,2.974,-0.038,2.661,YES,59.0,YES,TRAIL
2024-07-25,2024-07,5,2.253,2249.0,2.803,0.237,2.315,YES,80.0,YES,TRAIL
2024-07-26,2024-07,5,3.19,3134.0,3.42,0.108,3.19,YES,93.0,YES,mixed/stops
2024-07-29,2024-07,5,0.034,34.0,0.597,-0.698,-0.052,no,6.0,no,mixed/stops
2024-07-30,2024-07,5,1.308,1273.0,2.981,-0.522,2.894,YES,44.0,YES,mixed/stops
