lookback_sessions,carry_slots,carry_weight,profitable_coverage_pct,coverage_pct,days_ge_70pct_profitable
2,15,5.0,44.935064935064936,48.08259587020649,45
2,15,10.0,44.935064935064936,48.08259587020649,45
2,15,20.0,44.935064935064936,48.08259587020649,45
2,15,40.0,44.935064935064936,48.08259587020649,45
1,15,5.0,44.675324675324674,45.87020648967551,44
1,15,10.0,44.675324675324674,45.87020648967551,44
1,15,20.0,44.675324675324674,45.87020648967551,44
1,15,40.0,44.675324675324674,45.87020648967551,44
1,12,5.0,42.98701298701298,44.54277286135693,40
1,12,10.0,42.98701298701298,44.54277286135693,40
1,12,20.0,42.98701298701298,44.54277286135693,40
1,12,40.0,42.98701298701298,44.54277286135693,40
3,15,5.0,40.909090909090914,44.32153392330383,46
3,15,10.0,40.909090909090914,44.32153392330383,46
3,15,20.0,40.909090909090914,44.32153392330383,46
3,15,40.0,40.909090909090914,44.32153392330383,46
2,12,5.0,39.740259740259745,42.256637168141594,35
2,12,10.0,39.740259740259745,42.256637168141594,35
2,12,20.0,39.740259740259745,42.256637168141594,35
2,12,40.0,39.740259740259745,42.256637168141594,35
1,8,5.0,37.142857142857146,38.716814159292035,32
1,8,10.0,37.142857142857146,38.716814159292035,32
1,8,20.0,37.142857142857146,38.716814159292035,32
1,8,40.0,37.142857142857146,38.716814159292035,32
3,12,5.0,33.896103896103895,36.57817109144543,31
3,12,10.0,33.896103896103895,36.57817109144543,31
3,12,20.0,33.896103896103895,36.57817109144543,31
3,12,40.0,33.896103896103895,36.57817109144543,31
5,15,5.0,31.038961038961038,33.99705014749262,26
5,15,10.0,31.038961038961038,33.99705014749262,26
5,15,20.0,31.038961038961038,33.99705014749262,26
5,15,40.0,31.038961038961038,33.99705014749262,26
2,8,5.0,30.129870129870127,32.9646017699115,19
2,8,10.0,30.129870129870127,32.9646017699115,19
2,8,20.0,30.129870129870127,32.9646017699115,19
2,8,40.0,30.129870129870127,32.9646017699115,19
5,12,5.0,28.05194805194805,30.30973451327434,22
5,12,10.0,28.05194805194805,30.30973451327434,22
5,12,20.0,28.05194805194805,30.30973451327434,22
5,12,40.0,28.05194805194805,30.30973451327434,22
3,8,5.0,27.79220779220779,30.457227138643066,19
3,8,10.0,27.79220779220779,30.457227138643066,19
3,8,20.0,27.79220779220779,30.457227138643066,19
3,8,40.0,27.79220779220779,30.457227138643066,19
8,12,5.0,26.75324675324675,29.35103244837758,20
8,12,10.0,26.75324675324675,29.35103244837758,20
8,12,20.0,26.75324675324675,29.35103244837758,20
8,12,40.0,26.75324675324675,29.35103244837758,20
5,8,5.0,26.75324675324675,28.98230088495575,19
5,8,10.0,26.75324675324675,28.98230088495575,19
5,8,20.0,26.75324675324675,28.98230088495575,19
5,8,40.0,26.75324675324675,28.98230088495575,19
8,8,5.0,26.75324675324675,28.68731563421829,19
8,8,10.0,26.75324675324675,28.68731563421829,19
8,8,20.0,26.75324675324675,28.68731563421829,19
8,8,40.0,26.75324675324675,28.68731563421829,19
8,15,5.0,25.97402597402597,28.392330383480825,18
8,15,10.0,25.97402597402597,28.392330383480825,18
8,15,20.0,25.97402597402597,28.392330383480825,18
8,15,40.0,25.97402597402597,28.392330383480825,18
