tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v18_best,2025-04-15,3,3,1,1,33.33333333333333,33.33333333333333,"JUBLINGREA,FSL,ATUL,FLUOROCHEM,LTFOODS,NUVAMA,CRAFTSMAN,SYRMA,MCX,KAYNES,PPLPHARMA,ARE&M,SUZLON,MEDANTA,GRAVITA","CRAFTSMAN,RKFORGE,BLUESTARCO","BLUESTARCO,RKFORGE"
v18_best,2025-04-16,4,4,0,0,0.0,0.0,"CRAFTSMAN,JUBLINGREA,FSL,RKFORGE,BLUESTARCO,FLUOROCHEM,NUVAMA,LTFOODS,ATUL,SYRMA,MCX,KAYNES,PPLPHARMA,ARE&M,MEDANTA","KFINTECH,JBMA,DOMS,NBCC","DOMS,JBMA,KFINTECH,NBCC"
v18_best,2025-04-17,3,3,0,0,0.0,0.0,"JBMA,DOMS,KFINTECH,CRAFTSMAN,NBCC,RKFORGE,BLUESTARCO,FSL,VTL,PARADEEP,BDL,GPIL,TRIDENT,JUBLINGREA,PNBHOUSING","DELHIVERY,FACT,BLUEJET","BLUEJET,DELHIVERY,FACT"
v18_best,2025-04-21,8,3,4,2,50.0,66.66666666666666,"FACT,DELHIVERY,JBMA,DOMS,KFINTECH,BLUEJET,NBCC,FSL,VTL,PARADEEP,GPIL,CRAFTSMAN,BDL,JUBLINGREA,TRIDENT","ENGINERSIN,GMDCLTD,JBMA,ANURAS,DOMS,INDUSINDBK,PARADEEP,BLUEJET",INDUSINDBK
v18_best,2025-04-22,5,3,0,0,0.0,0.0,"FACT,DELHIVERY,DOMS,INDUSINDBK,PARADEEP,BLUEJET,ENGINERSIN,GMDCLTD,JBMA,ANURAS,KFINTECH,FSL,VTL,CRAFTSMAN,GPIL","APARINDS,GODFRYPHLP,LALPATHLAB,PERSISTENT,SPLPETRO","APARINDS,LALPATHLAB,PERSISTENT"
v18_best,2025-04-23,12,11,4,3,33.33333333333333,27.27272727272727,"APARINDS,LALPATHLAB,PERSISTENT,DOMS,INDUSINDBK,PARADEEP,GODFRYPHLP,ENGINERSIN,GMDCLTD,JBMA,ANURAS,SPLPETRO,BLUEJET,FACT,DELHIVERY","AUBANK,ATUL,REDINGTON,GODFRYPHLP,SPLPETRO,CHOICEIN,LALPATHLAB,PERSISTENT,MPHASIS,HCLTECH,COFORGE,TECHM","ATUL,AUBANK,CHOICEIN,COFORGE,HCLTECH,MPHASIS,REDINGTON,TECHM"
v18_best,2025-04-24,3,2,2,2,66.66666666666666,100.0,"AUBANK,REDINGTON,GODFRYPHLP,ATUL,SPLPETRO,CHOICEIN,PERSISTENT,APARINDS,MPHASIS,HCLTECH,LALPATHLAB,COFORGE,TECHM,DOMS,FACT","APARINDS,LALPATHLAB,DATAPATTNS",
v18_best,2025-04-25,9,3,7,2,77.77777777777779,66.66666666666666,"APARINDS,AUBANK,LALPATHLAB,REDINGTON,GODFRYPHLP,ATUL,SPLPETRO,CHOICEIN,PERSISTENT,MPHASIS,HCLTECH,COFORGE,TECHM,DATAPATTNS,DOMS","ATUL,HCLTECH,LALPATHLAB,MPHASIS,COFORGE,PERSISTENT,OFSS,TECHM,M&M",M&M
v18_best,2025-04-28,12,2,8,2,66.66666666666666,100.0,"ATUL,MPHASIS,APARINDS,LALPATHLAB,HCLTECH,M&M,COFORGE,PERSISTENT,OFSS,TECHM,DATAPATTNS,AUBANK,REDINGTON,SPLPETRO,GODFRYPHLP","APARINDS,GODFRYPHLP,HCLTECH,TATAELXSI,AUBANK,OFSS,CHOICEIN,TECHM,REDINGTON,IIFL,DATAPATTNS,ELECON",
v18_best,2025-04-29,7,4,1,1,14.285714285714285,25.0,"GODFRYPHLP,ATUL,REDINGTON,MPHASIS,HCLTECH,APARINDS,TATAELXSI,OFSS,AUBANK,TECHM,CHOICEIN,LALPATHLAB,M&M,IIFL,COFORGE","TIMKEN,FORCEMOT,CEATLTD,INDIACEM,MARUTI,HONASA,ATUL","CEATLTD,HONASA,INDIACEM"
v18_best,2025-04-30,7,1,4,1,57.14285714285714,100.0,"INDIACEM,HONASA,CEATLTD,GODFRYPHLP,ATUL,TIMKEN,REDINGTON,FORCEMOT,MARUTI,APARINDS,HCLTECH,TATAELXSI,AUBANK,OFSS,CHOICEIN","TIMKEN,FORCEMOT,CEATLTD,MARUTI,SCHAEFFLER,IGL,ACUTAAS",
