target,side,n,sessions,mean_pct,win,per_session,breadth,shuffled,keep
y_60,long,4410,882,-0.277076314057805,0.32494331065759635,-0.24635212600704035,60,-0.13035949532645544,False
y_60,short,4410,882,0.19454892141482918,0.6718820861678004,0.17297595633858803,59,0.13858222814546353,False
y_close,long,4410,882,-0.3553709906517414,0.34467120181405897,-0.3159649332206007,60,-0.13947114616404338,False
y_close,short,4410,882,0.06287718034320632,0.5972789115646259,0.05590491236160078,60,0.1389064878629257,False
y_d1,long,4405,881,0.02404458655700248,0.45675368898978436,0.021354113666047503,60,-0.06533458643438582,True
y_d1,short,4405,881,0.013442289077890832,0.5382519863791146,0.011938161973409156,60,0.03423975478726801,False
y_d3,long,4400,880,0.5155223986168941,0.48613636363636364,0.4573182568375672,60,0.19443218830626025,True
y_d3,short,4400,880,-0.32431906366885255,0.5125,-0.28770239519011087,60,-0.08033782736900502,False
