memory_days,mode,coverage_pct,profitable_coverage_pct,days_ge70_profitable
2,all_prev_manual,48.091603053435115,46.808510638297875,15
1,all_prev_manual,44.02035623409669,41.27659574468085,9
3,prof_prev_manual,39.18575063613232,37.4468085106383,10
3,all_prev_manual,39.44020356234097,37.02127659574468,14
2,prof_prev_manual,36.38676844783715,33.61702127659574,5
5,prof_prev_manual,24.681933842239186,21.70212765957447,5
1,prof_prev_manual,24.681933842239186,21.27659574468085,2
5,all_prev_manual,13.994910941475828,12.340425531914894,3
10,all_prev_manual,8.142493638676845,8.085106382978724,1
10,prof_prev_manual,8.396946564885496,8.085106382978724,0
