2026-09-22 09:12:14,GetHistory,HDFCBANK,NSE,15minute,54,2026-09-21 15:45:00,739.5,0,13354,2295,
2026-09-22 09:12:16,GetHistory,RELIANCE,NSE,15minute,54,2026-09-21 15:45:00,1247.4,0,4135,2083,
2026-09-22 09:12:20,GetHistory,NIFTY 50,NSE_IDX,15minute,94,2026-09-21 21:15:00,23414.3,0,0,3575,
2026-09-22 09:12:24,GetHistory,NIFTY BANK,NSE_IDX,15minute,94,2026-09-21 21:15:00,56470.65,0,0,3766,
2026-09-22 09:12:25,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,696,
2026-09-22 09:12:25,GetHistory,RELIANCE,NSE,1minute,0,,,,,740,
2026-09-22 09:12:26,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,1091,
2026-09-22 09:12:27,GetHistory,OPTIDX_NIFTY_22SEP2026_CE_23400,NFO,1minute,0,,,,,980,
2026-09-22 09:13:06,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-21 15:30:00,56630.4,1975620,328230,1216,
2026-09-22 09:13:07,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-21 15:30:00,23450.0,17242810,1694225,1195,
2026-09-22 09:13:09,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,52,2026-09-21 15:30:00,1250.8,123992000,10174000,1909,
2026-09-22 09:13:10,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56500,NFO,15minute,52,2026-09-21 15:30:00,471.0,673620,67920,982,
2026-09-22 09:13:11,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56500,NFO,15minute,52,2026-09-21 15:30:00,344.3,783600,92970,1112,
2026-09-22 09:13:12,GetHistory,OPTIDX_NIFTY_22SEP2026_CE_23400,NFO,15minute,52,2026-09-21 15:30:00,90.75,8639865,9081735,649,
2026-09-22 09:13:13,GetHistory,OPTIDX_NIFTY_22SEP2026_PE_23400,NFO,15minute,52,2026-09-21 15:30:00,42.15,16426475,13509015,1078,
2026-09-22 09:13:15,GetHistory,HDFCBANK,NSE,15minute,54,2026-09-21 15:45:00,739.5,0,13354,2406,
2026-09-22 09:13:17,GetHistory,RELIANCE,NSE,15minute,54,2026-09-21 15:45:00,1247.4,0,4135,2204,
2026-09-22 09:13:21,GetHistory,NIFTY 50,NSE_IDX,15minute,94,2026-09-21 21:15:00,23414.3,0,0,3723,
2026-09-22 09:13:25,GetHistory,NIFTY BANK,NSE_IDX,15minute,94,2026-09-21 21:15:00,56470.65,0,0,3726,
2026-09-22 09:13:26,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,680,
2026-09-22 09:13:26,GetHistory,RELIANCE,NSE,1minute,0,,,,,854,
2026-09-22 09:13:27,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,984,
2026-09-22 09:13:28,GetHistory,OPTIDX_NIFTY_22SEP2026_CE_23400,NFO,1minute,0,,,,,979,
2026-09-22 09:14:06,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-21 15:30:00,56630.4,1975620,328230,1251,
2026-09-22 09:14:07,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,52,2026-09-21 15:30:00,23450.0,17242810,1694225,1200,
2026-09-22 09:14:09,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,52,2026-09-21 15:30:00,1250.8,123992000,10174000,1689,
2026-09-22 09:14:10,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56500,NFO,15minute,52,2026-09-21 15:30:00,471.0,673620,67920,1090,
2026-09-22 09:14:11,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56500,NFO,15minute,52,2026-09-21 15:30:00,344.3,783600,92970,1093,
2026-09-22 09:14:12,GetHistory,OPTIDX_NIFTY_22SEP2026_CE_23400,NFO,15minute,52,2026-09-21 15:30:00,90.75,8639865,9081735,671,
2026-09-22 09:14:13,GetHistory,OPTIDX_NIFTY_22SEP2026_PE_23400,NFO,15minute,52,2026-09-21 15:30:00,42.15,16426475,13509015,1079,
2026-09-22 09:14:15,GetHistory,HDFCBANK,NSE,15minute,54,2026-09-21 15:45:00,739.5,0,13354,2403,
2026-09-22 09:14:17,GetHistory,RELIANCE,NSE,15minute,54,2026-09-21 15:45:00,1247.4,0,4135,2187,
2026-09-22 09:14:21,GetHistory,NIFTY 50,NSE_IDX,15minute,94,2026-09-21 21:15:00,23414.3,0,0,3737,
2026-09-22 09:14:25,GetHistory,NIFTY BANK,NSE_IDX,15minute,94,2026-09-21 21:15:00,56470.65,0,0,3727,
2026-09-22 09:14:25,GetHistory,NIFTY 50,NSE_IDX,1minute,0,,,,,671,
2026-09-22 09:14:26,GetHistory,RELIANCE,NSE,1minute,0,,,,,867,
2026-09-22 09:14:27,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,0,,,,,980,
2026-09-22 09:14:28,GetHistory,OPTIDX_NIFTY_22SEP2026_CE_23400,NFO,1minute,0,,,,,982,
