entry_date,signal_date,n_positions,symbols,avg_score,avg_rule_score,avg_profile_score
2025-01-02,2025-01-01,15,"CRISIL,NEWGEN,POWERINDIA,TARIL,ITI,ATGL,BLUESTARCO,UTIAMC,IREDA,TECHNOE,PGEL,AMBER,KAYNES,BAJAJHLDNG,COCHINSHIP",8.248954800579785,3.1254426341850214,1.939982461244576
2025-01-03,2025-01-02,15,"BLUESTARCO,POWERINDIA,AIIL,TARIL,RPOWER,PNBHOUSING,TECHNOE,KALYANKJIL,CRISIL,SUNDARMFIN,COCHINSHIP,IREDA,UTIAMC,POLYMED,ACUTAAS",8.07791351642864,2.858565578924194,1.9625369066364056
2025-01-06,2025-01-03,15,"TARIL,SUNDARMFIN,AIIL,BLUESTARCO,ZENSARTECH,PARADEEP,RPOWER,CARTRADE,POLYMED,LLOYDSME,CHOLAHLDNG,FORCEMOT,BLUEJET,PTCIL,ITI",8.392176336837856,3.0895712222830976,2.090444574481092
2025-01-07,2025-01-06,15,"VIJAYA,LLOYDSME,SAREGAMA,BLUESTARCO,AIIL,TARIL,PARADEEP,PTCIL,SAPPHIRE,DEVYANI,ITI,JUBLINGREA,CARTRADE,POLYMED,APARINDS",8.573255519647542,3.1702287268471143,2.1786322482032596
2025-01-08,2025-01-07,15,"SAREGAMA,VIJAYA,TARIL,PARADEEP,DEVYANI,AIIL,PTCIL,LLOYDSME,SAPPHIRE,ITI,FSL,BLUEJET,APARINDS,ACUTAAS,AMBER",8.287096494800126,3.2155013233957415,2.0425193132676025
2025-01-09,2025-01-08,15,"VIJAYA,PTCIL,AEGISLOG,ACUTAAS,TARIL,ITI,OIL,IREDA,PARADEEP,SHYAMMETL,BLUEJET,MINDACORP,CONCORDBIO,PHOENIXLTD,SAGILITY",7.916958132937651,3.0522986698763765,2.1844313235858226
2025-01-10,2025-01-09,15,"VIJAYA,PTCIL,ACUTAAS,AEGISLOG,CREDITACC,CARTRADE,ANANTRAJ,CONCORDBIO,PHOENIXLTD,LLOYDSME,SAREGAMA,BDL,JSWDULUX,MINDACORP,GICRE",8.478828810438035,3.1339556604263525,2.1828754730757725
2025-01-13,2025-01-10,15,"VIJAYA,PTCIL,PHOENIXLTD,JSWDULUX,ANANTRAJ,SUNDARMFIN,BDL,NAVINFLUOR,CONCORDBIO,LLOYDSME,AMBER,ANANDRATHI,SHYAMMETL,CARTRADE,PCBL",7.942809276730793,2.9797834109680132,2.0267393164039955
2025-01-14,2025-01-13,15,"VIJAYA,CONCORDBIO,ANANDRATHI,PTCIL,SUNDARMFIN,JSWDULUX,SHYAMMETL,RKFORGE,PCBL,OIL,NAVINFLUOR,PHOENIXLTD,PGEL,AARTIIND,KALYANKJIL",7.3161528851796716,2.781783261707395,1.8561189142889671
2025-01-15,2025-01-14,15,"PTCIL,ANANDRATHI,BSE,SUNDARMFIN,CONCORDBIO,KAYNES,KALYANKJIL,PPLPHARMA,MINDACORP,PCBL,FIRSTCRY,RKFORGE,GRSE,PREMIERENE,MAZDOCK",6.5167749182276085,2.4542932601065632,1.655618893995498
2025-01-16,2025-01-15,15,"ADANIPOWER,MAHABANK,PHOENIXLTD,ADANIENSOL,KALYANKJIL,ANANDRATHI,ELECON,PGEL,MINDACORP,ADANIGREEN,ANANTRAJ,BSE,MAZDOCK,IDBI,POWERINDIA",6.504800741396538,2.5229614072577187,1.7304018910272196
2025-01-17,2025-01-16,15,"ADANIPOWER,IDEA,MINDACORP,THERMAX,ADANIGREEN,BSE,MOTILALOFS,INOXWIND,TECHNOE,MAHABANK,PAYTM,ADANIENSOL,IDBI,SWANCORP,KALYANKJIL",7.2055116473820915,2.7901578914387737,1.8867355363035787
2025-01-20,2025-01-17,15,"JWL,SWANCORP,DEEPAKFERT,IRCON,RAILTEL,BDL,GMDCLTD,IDBI,RPOWER,MINDACORP,PAYTM,ADANIPOWER,RVNL,MOTILALOFS,IDEA",8.02210959202351,2.9807648934867808,1.8882684653781723
2025-01-21,2025-01-20,15,"RVNL,JWL,BDL,IDBI,GRSE,NBCC,PAYTM,IRCON,HINDCOPPER,HUDCO,ANANTRAJ,IDEA,MAZDOCK,IFCI,BLS",8.077343027449647,3.052571884201876,1.9486701253688576
2025-01-22,2025-01-21,15,"BDL,MAZDOCK,GRSE,REDINGTON,IDEA,BLS,IFCI,IDBI,RVNL,PARADEEP,PGEL,ADANIENSOL,FACT,MOTILALOFS,TTML",7.876139966711875,2.934805715229562,1.9203583789622694
2025-01-23,2025-01-22,15,"TEJASNET,PARADEEP,GRSE,PGEL,IDEA,IFCI,MOTILALOFS,REDINGTON,BDL,SYRMA,NEWGEN,HINDCOPPER,SWIGGY,KAYNES,ZENTEC",7.563283764974997,2.5888771415984335,1.9046069180741254
2025-01-24,2025-01-23,15,"PARADEEP,REDINGTON,BBTC,BDL,TEJASNET,ZENTEC,PGEL,IDEA,WOCKPHARMA,GODIGIT,PREMIERENE,GRSE,MAZDOCK,MOTILALOFS,TECHNOE",7.841803052883908,2.8621461244102284,1.93503554428968
2025-01-27,2025-01-24,15,"GODIGIT,AMBER,PERSISTENT,WOCKPHARMA,ZENTEC,BBTC,ZENSARTECH,PREMIERENE,DCMSHRIRAM,MOTILALOFS,GRSE,PAYTM,POWERINDIA,PGEL,FIVESTAR",7.489837753654311,2.5998797319130476,1.8014018853922822
2025-01-28,2025-01-27,15,"GODIGIT,FIVESTAR,ZENSARTECH,ZENTEC,REDINGTON,KFINTECH,MOTILALOFS,CGCL,DCMSHRIRAM,TECHNOE,PGEL,POWERINDIA,BBTC,JYOTICNC,AMBER",7.509888590027744,2.6819599319754155,1.8588768763163916
2025-01-29,2025-01-28,15,"AMBER,DCMSHRIRAM,MAZDOCK,FIVESTAR,PGEL,ZENTEC,KAYNES,MOTILALOFS,JYOTICNC,SUMICHEM,CREDITACC,PREMIERENE,SOBHA,TECHNOE,KEC",7.849396464162273,2.674657615516986,1.9241660255759117
2025-01-30,2025-01-29,15,"SOBHA,CREDITACC,SYRMA,DEEPAKFERT,BLUEJET,ZENTEC,KAYNES,CARTRADE,ACUTAAS,MOTILALOFS,RVNL,POWERINDIA,MAZDOCK,TECHNOE,AMBER",7.300921617442268,2.8739624325117763,1.9734442472948432
2025-01-31,2025-01-30,15,"SYRMA,ACUTAAS,POWERINDIA,HBLENGINE,BRIGADE,INOXWIND,CARTRADE,KPITTECH,ZENSARTECH,RVNL,SOBHA,MOTILALOFS,LAURUSLABS,ANANTRAJ,ACMESOLAR",7.924678192813099,2.970844022116087,2.0409494104979067
