tag,days,avg_manual_n,avg_hit_n,avg_profitable_hit_n,coverage_pct,profitable_coverage_pct,days_ge_70pct_profitable,config_id,profile_w,tier_profile_w,rule_w,symbol_w,loser_penalty_w,outcome_proxy_w,top_features,top_rules,nn_k,nn_w
2024-12->2025-01,22,9.681818181818182,1.2727272727272727,0.45454545454545453,13.145539906103288,8.130081300813007,1,V6C0003,1.0,1.5,1.75,0.0,0.8,0.5,40,80,7,0.0
2024-12->2025-01,22,9.681818181818182,1.2727272727272727,0.4090909090909091,13.145539906103288,7.317073170731707,0,V6C0000,1.25,1.0,1.0,0.0,0.4,0.5,40,80,7,0.25
2024-12->2025-01,22,9.681818181818182,1.2272727272727273,0.4090909090909091,12.676056338028168,7.317073170731707,0,V6C0004,1.75,0.5,0.75,1.0,0.4,0.5,40,80,7,0.0
2024-12->2025-01,22,9.681818181818182,1.2272727272727273,0.4090909090909091,12.676056338028168,7.317073170731707,0,V6C0005,0.75,1.0,1.75,1.5,0.0,0.5,40,80,7,0.0
2024-12->2025-01,22,9.681818181818182,1.1363636363636365,0.36363636363636365,11.737089201877934,6.504065040650407,0,V6C0001,1.75,1.0,0.75,0.5,0.4,0.5,40,80,7,0.25
2024-12->2025-01,22,9.681818181818182,1.1363636363636365,0.36363636363636365,11.737089201877934,6.504065040650407,1,V6C0006,1.5,1.25,1.25,0.75,0.5,0.5,40,80,7,0.15
2024-12->2025-01,22,9.681818181818182,1.1363636363636365,0.3181818181818182,11.737089201877934,5.691056910569105,0,V6C0002,1.25,1.5,1.0,0.5,0.8,0.5,40,80,7,0.25
2024-12->2025-01,22,9.681818181818182,1.0909090909090908,0.3181818181818182,11.267605633802818,5.691056910569105,0,V6C0007,2.0,0.75,0.5,0.5,0.75,0.5,40,80,7,0.35
