month,tag,days,days_pos,avg_names,ret5x_pct,ret1x_pct,avg_day5x,win_pct,end_equity
2025-06,v3_forward_net_zerodha,21,15,10.0,156.08278636514297,31.216557273028588,7.432513636435379,71.42857142857143,2029760.95577413
2025-07,v3_forward_net_zerodha,18,14,10.0,167.21659498533887,33.44331899706778,9.289810832518826,77.77777777777779,9500635.121830398
2025-08,v3_forward_net_zerodha,18,13,10.0,100.36258144088717,20.072516288177432,5.575698968938176,72.22222222222221,24050047.356728625
2025-09,v3_forward_net_zerodha,14,11,10.0,116.6732188557955,23.3346437711591,8.333801346842536,78.57142857142857,69534642.46548328
2025-10,v3_forward_net_zerodha,20,16,10.0,209.03724583183723,41.807449166367434,10.451862291591862,80.0,471400725.38057894
2025-11,v3_forward_net_zerodha,19,15,10.0,98.68303097663357,19.73660619532672,5.193843735612293,78.94736842105263,1191660865.6612554
2025-12,v3_forward_net_zerodha,22,14,10.0,116.46840561863078,23.29368112372616,5.29401843721049,63.63636363636363,3403979330.941687
2026-01,v3_forward_net_zerodha,15,8,10.0,113.53022682955998,22.706045365911997,7.568681788637332,53.333333333333336,9291113678.64146
2026-02,v3_forward_net_zerodha,20,16,10.0,147.40413762741383,29.48082752548276,7.370206881370692,80.0,36047520742.04688
2026-03,v3_forward_net_zerodha,19,12,10.0,187.8087429586922,37.561748591738436,9.88467068203643,63.1578947368421,186704022317.97452
2026-04,v3_forward_net_zerodha,20,12,10.0,153.99767770682507,30.799535541365014,7.6998838853412535,60.0,715302402594.9152
2026-05,v3_forward_net_zerodha,16,11,10.0,134.78358286571128,26.956716573142256,8.423973929106955,68.75,2403721927363.111
2026-06,v3_forward_net_zerodha,14,5,10.0,-15.678613093655581,-3.135722618731116,-1.119900935261113,35.714285714285715,2034639597817.0713
