config_id,signal_date,entry_date,n_positions,symbols,avg_rank,max_rank,avg_score,avg_lift,avg_n_fires,n_premium,n_gold,n_normal_context,regime_mode,exit_time,exit_reason,gross_ret5x_pct,net_ret5x_pct,gross_ret1x_pct,net_ret1x_pct,gross_rs,charges_rs,net_rs,n_positions_filled,filled_symbols,position_rets
v3_rank12_premium_gold_top10,2025-03-17,2025-03-18,10,"TARIL,BSE,BLS,KFINTECH,NUVAMA,MAXHEALTH,JPPOWER,TEJASNET,NIACL,RPOWER",5.5,10,1797.914,18.10802,99.3,10,0,10,risk_off,15:29,EOD,14.647681999999937,14.373029735900882,2.9295363999999875,2.8746059471801764,73238.40999999968,1373.26132049526,71865.14867950442,10,"TARIL,BSE,BLS,KFINTECH,NUVAMA,MAXHEALTH,JPPOWER,TEJASNET,NIACL,RPOWER","6.8365,3.5554,2.5603,1.5135,2.5305,1.5520,2.0532,1.8939,2.3706,4.4544"
v3_rank12_premium_gold_top10,2025-03-18,2025-03-19,10,"RPOWER,POLICYBZR,TEJASNET,RHIM,MFSL,BSE,KFINTECH,NUVAMA,LODHA,ANGELONE",5.5,10,1679.9169000000002,17.98717,93.4,10,0,10,risk_on,15:29,EOD,22.924839999999943,22.647899341303866,4.584967999999988,4.5295798682607735,114624.19999999972,1384.7032934804001,113239.49670651932,10,"RPOWER,POLICYBZR,TEJASNET,RHIM,MFSL,BSE,KFINTECH,NUVAMA,LODHA,ANGELONE","7.5192,6.5337,5.7906,3.0397,2.4426,5.2954,3.0741,2.1354,5.9632,4.1271"
v3_rank12_premium_gold_top10,2025-03-19,2025-03-20,10,"JMFINANCIL,TEJASNET,MFSL,BLS,OLECTRA,MRPL,MANKIND,ABREL,NUVOCO,RAILTEL",5.5,10,1628.7094,17.701620000000002,92.0,10,0,9,risk_on,09:46,TRAIL,2.6559100000000555,2.384733971697668,0.5311820000000111,0.4769467943395336,13279.55000000028,1355.8801415119399,11923.66985848834,10,"JMFINANCIL,TEJASNET,MFSL,BLS,OLECTRA,MRPL,MANKIND,ABREL,NUVOCO,RAILTEL","1.1027,0.0624,-0.0453,0.7550,-0.8772,0.6358,1.6661,0.4706,0.6593,0.8890"
v3_rank12_premium_gold_top10,2025-03-20,2025-03-21,10,"NUVOCO,JMFINANCIL,TEJASNET,PCBL,RAILTEL,RPOWER,BSE,MANKIND,MFSL,FSL",5.5,10,1544.4796999999999,17.475209999999997,88.4,10,0,10,risk_on,15:29,EOD,29.22962000000011,28.950788175854086,5.845924000000022,5.790157635170817,146148.10000000056,1394.15912073012,144753.94087927043,10,"NUVOCO,JMFINANCIL,TEJASNET,PCBL,RAILTEL,RPOWER,BSE,MANKIND,MFSL,FSL","5.7049,5.9078,11.7334,7.9747,4.0482,3.8398,7.0832,5.9136,1.7380,4.5561"
v3_rank12_premium_gold_top10,2025-03-24,2025-03-25,10,"BSE,ASTERDM,RPOWER,ZFCVINDIA,CUB,BEML,NAVA,FORTIS,PTCIL,ADANIENSOL",5.5,10,1357.0459999999998,15.998410000000002,84.9,10,0,7,risk_on,09:24,HARD_STOP,-3.481102000000141,-3.7490876395804813,-0.6962204000000283,-0.7498175279160962,-17405.510000000708,1339.9281979017,-18745.438197902407,10,"BSE,ASTERDM,RPOWER,ZFCVINDIA,CUB,BEML,NAVA,FORTIS,PTCIL,ADANIENSOL","1.3449,-0.3874,-1.6330,-0.7630,-0.8910,-1.2239,-1.9106,-2.5227,0.5939,0.4258"
v3_rank12_premium_gold_top10,2025-03-25,2025-03-26,10,"RPOWER,ASTERDM,BSE,BEML,CUB,ZFCVINDIA,JSWDULUX,NAVA,FORTIS,PTCIL",5.5,10,1323.3157,16.47867,80.3,10,0,8,risk_on,09:45,HARD_STOP,-3.0168299999999815,-3.2847308272709532,-0.6033659999999963,-0.6569461654541906,-15084.149999999907,1339.50413635486,-16423.654136354766,10,"RPOWER,ASTERDM,BSE,BEML,CUB,ZFCVINDIA,JSWDULUX,NAVA,FORTIS,PTCIL","-0.0269,-1.5839,-1.8953,-0.7378,0.5573,2.9917,-1.5115,0.3190,-1.2000,-3.0372"
v3_rank12_premium_gold_top10,2025-03-26,2025-03-27,10,"BSE,ASTERDM,BEML,RPOWER,CUB,ZFCVINDIA,NAVA,FORTIS,JSWDULUX,ERIS",5.5,10,1345.1223999999997,16.729930000000003,80.1,10,0,8,risk_on,09:17,HARD_STOP,-4.949789999999944,-5.218294541124661,-0.9899579999999888,-1.0436589082249321,-24748.94999999972,1342.52270562358,-26091.472705623302,10,"BSE,ASTERDM,BEML,RPOWER,CUB,ZFCVINDIA,NAVA,FORTIS,JSWDULUX,ERIS","-1.1935,0.7241,-0.4582,-0.7616,-0.7143,-3.0333,-2.5463,-1.1412,-0.2797,-0.5822"
v3_rank12_premium_gold_top10,2025-03-27,2025-03-28,10,"BSE,ASTERDM,CUB,BEML,FORTIS,NAVA,RPOWER,GALLANTT,ERIS,PTCIL",5.5,10,1483.3729,16.10754,92.4,10,0,6,risk_on,15:29,EOD,13.325193999999948,13.051678332096154,2.66503879999999,2.610335666419231,66625.96999999974,1367.5783395189796,65258.39166048076,10,"BSE,ASTERDM,CUB,BEML,FORTIS,NAVA,RPOWER,GALLANTT,ERIS,PTCIL","8.6409,4.6039,1.5635,0.9438,3.4277,1.4398,-0.6254,7.1190,0.2989,-0.7712"
v3_rank12_premium_gold_top10,2025-03-28,2025-04-01,10,"CUB,ASTERDM,BEML,ERIS,RPOWER,BSE,PTCIL,FORTIS,NAVA,GALLANTT",5.5,10,1438.6255,15.698290000000004,92.0,8,2,2,risk_on,09:25,TRAIL,2.3209079999999145,2.050759985669666,0.4641815999999829,0.41015199713393324,11604.539999999572,1350.74007165124,10253.799928348331,10,"CUB,ASTERDM,BEML,ERIS,RPOWER,BSE,PTCIL,FORTIS,NAVA,GALLANTT","-0.9416,-0.7196,-0.6878,-0.6214,2.1692,-0.1082,0.3228,1.0717,4.1981,-0.0258"
v3_rank12_premium_gold_top10,2025-04-01,2025-04-02,10,"VTL,GPIL,PARADEEP,BDL,PNBHOUSING,GMRAIRPORT,TATACONSUM,TRIDENT,GALLANTT,TEJASNET",5.5,10,1283.7196999999999,15.434460000000001,82.7,6,4,6,risk_on,09:17,HARD_STOP,-4.0158559999999595,-4.285133696428159,-0.8031711999999919,-0.8570267392856318,-20079.279999999795,1346.3884821410002,-21425.668482140794,10,"VTL,GPIL,PARADEEP,BDL,PNBHOUSING,GMRAIRPORT,TATACONSUM,TRIDENT,GALLANTT,TEJASNET","-1.1471,-1.5248,-1.5710,-1.5458,-0.1260,-1.4066,1.4440,-2.0792,2.3666,-2.4465"
