entry_date,selected_n,manual_n,overlap_n,manual_coverage_pct,selected_symbols,manual_symbols
2025-05-15,10,6,5,83.33333333333334,"ANANTRAJ,BAJAJHLDNG,HFCL,IFCI,IRCON,KEC,KIRLOSENG,KPIL,RVNL,SCI","ANANTRAJ,BAJAJHLDNG,ECLERX,KEC,KPIL,SCI"
2025-05-16,10,9,7,77.77777777777779,"BAJAJHLDNG,GRANULES,HFCL,IFCI,IRFC,JWL,RVNL,SCI,STARHEALTH,TITAGARH","GESHIP,GRANULES,IFCI,IRFC,JWL,RITES,RVNL,SCI,TITAGARH"
2025-05-19,10,4,4,100.0,"BDL,DATAPATTNS,GRANULES,HFCL,IFCI,JWL,PTCIL,RVNL,TITAGARH,ZENTEC","BDL,GRANULES,HFCL,PTCIL"
2025-05-20,10,12,8,66.66666666666666,"ERIS,GRSE,HONASA,JKTYRE,JUBLPHARMA,LTFOODS,PFIZER,RPOWER,SOLARINDS,TTML","CLEAN,ERIS,GRSE,IFCI,JKTYRE,JUBLPHARMA,PFIZER,PTCIL,RPOWER,SCI,SOLARINDS,TTML"
2025-05-21,10,14,9,64.28571428571429,"ERIS,GRSE,HONASA,JKTYRE,JUBLPHARMA,LTFOODS,RPOWER,SCI,SOLARINDS,TTML","BDL,CLEAN,ERIS,GRSE,HONASA,JKTYRE,KIMS,LTFOODS,PARADEEP,PTCIL,RPOWER,SCI,SOLARINDS,TTML"
2025-05-22,10,8,6,75.0,"CLEAN,GRSE,HONASA,JUBLPHARMA,PTCIL,RPOWER,SCI,SOLARINDS,TBOTEK,TTML","CLEAN,HONASA,IFCI,JUBLPHARMA,PARADEEP,PTCIL,RPOWER,SCI"
2025-05-23,10,8,6,75.0,"CLEAN,ERIS,GRSE,HONASA,LTFOODS,PARADEEP,RPOWER,SOLARINDS,TBOTEK,TTML","ERIS,HONASA,IFCI,JKTYRE,LTFOODS,PARADEEP,RPOWER,TBOTEK"
2025-05-26,10,8,5,62.5,"BDL,ERIS,GRSE,HONASA,IFCI,JKTYRE,PARADEEP,SCI,SOLARINDS,TBOTEK","BDL,ERIS,GRSE,JKTYRE,JUBLPHARMA,PARADEEP,PFIZER,TTML"
2025-05-27,10,10,8,80.0,"CONCORDBIO,ENGINERSIN,FORCEMOT,ITI,MMTC,POWERINDIA,TECHNOE,TEGA,WELCORP,ZENTEC","CONCORDBIO,ELGIEQUIP,ENGINERSIN,GLAXO,ITI,MMTC,POWERINDIA,TEGA,WELCORP,ZENTEC"
2025-05-28,10,8,6,75.0,"CONCORDBIO,DEEPAKFERT,ENGINERSIN,FORCEMOT,ITI,MMTC,POWERINDIA,TECHNOE,WELCORP,ZENTEC","BEML,CONCORDBIO,DEEPAKFERT,ENGINERSIN,MMTC,SUZLON,TECHNOE,WELCORP"
2025-05-29,10,5,2,40.0,"CONCORDBIO,ENGINERSIN,FORCEMOT,GRSE,MMTC,POWERINDIA,SUZLON,WELCORP,WOCKPHARMA,ZENTEC","BAYERCROP,BSE,ELGIEQUIP,SUZLON,WOCKPHARMA"
2025-05-30,10,6,3,50.0,"BDL,CONCORDBIO,ENGINERSIN,FORCEMOT,GRSE,MMTC,POWERINDIA,SUZLON,TEGA,ZENTEC","BAYERCROP,BEML,CONCORDBIO,NBCC,SUZLON,TEGA"
