pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_6871,101,1772,1.1902574257425742,0.944,4.86,0.509,0.9968030474040632,unclassified
FALCPAT_8371,101,1600,0.9956633663366337,0.861,5.036,0.506,0.9194825,unclassified
FALCPAT_7786,101,2308,0.9036534653465347,0.772,2.719,0.508,0.8352209705372616,unclassified
FALCPAT_6438,100,1080,0.95612,0.885,2.23,0.508,0.9481425925925926,unclassified
FALCPAT_7436,99,653,1.2591919191919192,0.997,6.404,0.51,1.1318774885145482,unclassified
FALCPAT_9425,99,933,1.1442525252525253,0.96,4.636,0.503,0.9987277599142552,unclassified
FALCPAT_8877,99,1700,1.0183333333333333,0.824,3.535,0.505,0.9087929411764705,unclassified
FALCPAT_6334,98,879,1.2859183673469388,0.999,6.493,0.509,1.1318191126279864,unclassified
FALCPAT_8226,98,1009,1.0904591836734694,0.8965000000000001,3.81,0.518,1.0343111992071359,unclassified
FALCPAT_9109,98,1526,1.0839489795918367,0.8145,5.493,0.503,0.8799934469200523,unclassified
FALCPAT_7111,98,1824,0.9182551020408164,0.8065,2.587,0.503,0.839453399122807,unclassified
FALCPAT_6458,97,1767,1.088701030927835,0.855,5.696,0.505,0.9321239388794568,unclassified
FALCPAT_7870,97,1180,0.9911030927835052,0.859,2.581,0.507,0.9252067796610168,unclassified
FALCPAT_7781,97,1866,0.9431958762886598,0.752,2.719,0.501,0.8501854233654877,unclassified
FALCPAT_6514,97,1888,0.9460618556701031,0.744,2.677,0.509,0.8156414194915255,unclassified
FALCPAT_8071,96,619,1.4899375,1.222,5.018,0.54,1.439331179321486,unclassified
FALCPAT_8584,96,672,1.4805208333333333,1.1709999999999998,4.65,0.512,1.3551071428571428,unclassified
FALCPAT_9108,96,956,1.4469895833333333,1.182,6.576,0.507,1.2008253138075313,unclassified
FALCPAT_9528,96,1274,1.3154895833333333,1.1045,4.236,0.503,1.0898712715855574,unclassified
FALCPAT_7820,95,629,1.7180526315789475,1.425,6.272,0.541,1.5478378378378381,unclassified
FALCPAT_8525,95,823,1.3370210526315789,1.034,5.719,0.518,1.1572916160388822,unclassified
FALCPAT_7737,95,1242,1.2361578947368421,1.063,2.716,0.516,1.1123711755233494,unclassified
FALCPAT_8463,95,1099,1.239042105263158,1.016,4.05,0.506,1.0242602365787081,unclassified
FALCPAT_8269,95,2058,1.223421052631579,0.87,4.767,0.501,0.8602026239067055,unclassified
FALCPAT_6804,94,651,1.2357659574468085,0.941,5.126,0.51,1.1136282642089093,unclassified
FALCPAT_8957,94,1470,1.2816595744680852,1.0859999999999999,4.221,0.507,1.0275414965986391,unclassified
FALCPAT_9541,94,1221,1.3421382978723404,0.9864999999999999,6.326,0.527,1.024737100737101,unclassified
FALCPAT_8406,94,1311,1.1228723404255319,0.9135,4.211,0.507,0.9845102974828377,unclassified
FALCPAT_7176,94,852,1.0295744680851064,0.9245000000000001,3.823,0.514,0.9746220657276997,unclassified
FALCPAT_8494,94,1616,1.0743936170212764,0.9215,3.954,0.501,0.8665198019801977,unclassified
FALCPAT_7412,94,1849,0.9512659574468085,0.832,3.349,0.506,0.8153991346673879,unclassified
FALCPAT_6328,93,907,1.2839247311827957,1.093,4.416,0.507,1.1118191841234841,unclassified
FALCPAT_7601,93,1101,0.9794301075268818,0.862,3.027,0.501,0.9190472297910991,unclassified
FALCPAT_8781,93,1916,1.165236559139785,0.847,4.928,0.504,0.895802713987474,unclassified
FALCPAT_7112,93,1832,0.9585053763440861,0.856,3.41,0.519,0.87396288209607,unclassified
FALCPAT_6819,93,2541,0.8897419354838709,0.76,3.349,0.502,0.8055206611570249,unclassified
FALCPAT_7602,92,587,1.579663043478261,1.254,5.716,0.502,1.4447035775127766,unclassified
FALCPAT_9567,92,1181,1.341358695652174,1.0394999999999999,6.326,0.504,1.0702701100762064,unclassified
FALCPAT_6575,92,1590,1.1265760869565218,0.988,2.777,0.507,0.9336176100628931,unclassified
FALCPAT_9426,91,1000,1.426252747252747,1.1,5.18,0.503,1.1961169999999999,unclassified
FALCPAT_7009,91,1143,1.184923076923077,0.958,6.098,0.504,1.1525319335083113,unclassified
FALCPAT_8143,91,842,1.2272747252747254,1.041,3.244,0.509,1.110434679334917,unclassified
