pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_7603,69,712,1.4115507246376813,1.172,8.185,0.54,1.2994522471910115,unclassified
FALCPAT_9516,69,444,1.2690000000000001,0.975,5.01,0.508,1.1619099099099097,unclassified
FALCPAT_6999,69,991,1.1481739130434783,1.012,3.398,0.515,1.140789101917255,unclassified
FALCPAT_9270,69,718,1.1349710144927536,0.927,3.054,0.505,1.1201058495821727,unclassified
FALCPAT_6330,69,968,1.3276666666666666,1.059,5.681,0.509,0.9630123966942149,unclassified
FALCPAT_8951,69,742,1.2235652173913043,0.839,7.778,0.504,0.9493328840970349,unclassified
FALCPAT_6227,69,873,1.1765217391304348,0.794,5.884,0.505,0.9408717067583046,unclassified
FALCPAT_8594,69,1016,0.9518550724637681,0.861,2.439,0.503,0.9195984251968504,unclassified
FALCPAT_9450,69,1235,1.1331594202898552,0.842,5.442,0.503,0.9068210526315791,unclassified
FALCPAT_8687,69,1219,1.1299275362318841,0.95,4.093,0.507,0.8933322395406073,unclassified
FALCPAT_7320,69,1460,1.3564782608695651,0.932,4.492,0.503,0.8647739726027397,unclassified
FALCPAT_8573,69,1399,0.9031449275362319,0.792,3.586,0.504,0.7642666190135812,unclassified
FALCPAT_7508,68,488,1.3721470588235294,1.0885,4.747,0.503,1.2236782786885243,unclassified
FALCPAT_7086,68,1189,1.1216176470588235,0.9435,4.056,0.538,1.0585492010092512,unclassified
FALCPAT_8646,68,1085,1.1031764705882354,0.903,5.025,0.536,0.9854442396313363,unclassified
FALCPAT_8789,68,1165,1.1935735294117646,0.9355,7.484,0.505,0.9622557939914161,unclassified
FALCPAT_7202,68,1284,1.1988382352941176,0.994,5.561,0.509,0.9227359813084112,unclassified
FALCPAT_8502,68,1336,1.077720588235294,0.9075,2.771,0.512,0.9123854790419162,unclassified
FALCPAT_7269,68,1227,0.9958382352941176,0.8405,2.59,0.501,0.9074621026894865,unclassified
FALCPAT_9523,68,1359,1.0512794117647057,0.8140000000000001,3.88,0.505,0.8636188373804269,unclassified
FALCPAT_6758,68,1505,0.8672941176470588,0.763,2.158,0.513,0.7790863787375414,unclassified
FALCPAT_9344,68,1066,0.8490882352941176,0.729,2.739,0.506,0.7468949343339587,unclassified
FALCPAT_9106,67,533,1.2383582089552239,0.966,7.332,0.516,1.0839437148217637,unclassified
FALCPAT_7004,67,1030,1.328134328358209,0.922,4.228,0.501,1.0290737864077668,unclassified
FALCPAT_6264,67,1012,1.1463134328358209,0.874,6.531,0.53,0.9656590909090909,unclassified
FALCPAT_9107,67,885,1.0664328358208954,0.848,3.496,0.506,0.9205774011299435,unclassified
FALCPAT_8037,67,1336,0.8656417910447761,0.805,1.949,0.501,0.8218173652694611,unclassified
FALCPAT_7735,67,1746,0.9512089552238806,0.82,2.899,0.502,0.784930698739977,unclassified
FALCPAT_7833,66,356,1.6882727272727274,1.4015,5.788,0.559,1.6123567415730335,unclassified
FALCPAT_8622,66,832,1.3223787878787878,0.9544999999999999,5.138,0.512,1.1827836538461538,unclassified
FALCPAT_9407,66,891,1.3342575757575759,1.17,3.764,0.506,1.0569506172839505,unclassified
FALCPAT_9445,66,1234,1.0860606060606062,0.9715,2.71,0.51,0.923416531604538,unclassified
FALCPAT_8425,66,1435,0.9996363636363637,0.8614999999999999,2.302,0.514,0.8718390243902439,unclassified
FALCPAT_7915,66,2074,0.9320151515151515,0.7284999999999999,2.418,0.504,0.7855742526518804,unclassified
FALCPAT_8453,66,2088,0.9546969696969697,0.8125,2.561,0.506,0.7678247126436782,unclassified
FALCPAT_7760,65,609,1.6477384615384614,1.295,5.064,0.51,1.5274351395730703,unclassified
FALCPAT_8450,65,900,1.1400153846153847,0.97,5.34,0.515,1.0658900000000002,unclassified
FALCPAT_8000,65,884,1.1294615384615385,0.928,4.767,0.524,0.9867477375565611,unclassified
FALCPAT_8043,65,884,1.1294615384615385,0.928,4.767,0.524,0.9867477375565611,unclassified
FALCPAT_8070,65,938,1.0988153846153847,0.924,4.769,0.501,0.9469978678038381,unclassified
FALCPAT_8779,65,959,1.1675538461538462,0.97,3.101,0.501,0.9447069864442128,unclassified
FALCPAT_6474,65,1275,1.3360769230769232,1.002,4.789,0.501,0.9359231372549018,unclassified
FALCPAT_7472,65,1231,1.0988307692307693,0.852,4.083,0.503,0.9029480097481722,unclassified
FALCPAT_8312,65,914,1.0473538461538463,0.832,3.196,0.529,0.8718358862144421,unclassified
FALCPAT_9222,65,1740,1.0451230769230768,0.814,3.725,0.509,0.8165965517241379,unclassified
FALCPAT_9017,65,1185,1.0135692307692308,0.8,5.109,0.504,0.7968059071729958,unclassified
FALCPAT_7514,65,1699,1.0183076923076924,0.861,2.989,0.513,0.7956032960565038,unclassified
FALCPAT_9548,65,1570,0.8227076923076923,0.687,2.819,0.503,0.7253063694267518,unclassified
FALCPAT_9492,64,525,1.11625,0.8975,3.345,0.511,1.0055885714285715,unclassified
FALCPAT_8241,64,835,1.291875,0.9510000000000001,4.844,0.506,0.9978898203592815,unclassified
FALCPAT_7200,64,959,1.21165625,0.9405,6.024,0.503,0.9893117831074035,unclassified
FALCPAT_7754,64,1146,1.17575,0.9319999999999999,4.904,0.509,0.9542469458987783,unclassified
FALCPAT_9405,64,1005,1.13684375,0.853,3.692,0.506,0.9368547263681593,unclassified
FALCPAT_8728,64,772,1.06678125,0.931,2.515,0.506,0.9325466321243523,unclassified
FALCPAT_8144,64,1060,0.977171875,0.8045,2.652,0.501,0.930888679245283,unclassified
FALCPAT_9509,64,821,1.0826875,0.863,4.554,0.505,0.8688294762484774,unclassified
FALCPAT_7491,64,1780,0.890734375,0.7655000000000001,2.017,0.504,0.7816904494382023,unclassified
FALCPAT_7578,64,2016,0.96275,0.7815000000000001,3.232,0.501,0.7781914682539682,unclassified
FALCPAT_7207,64,1814,0.78271875,0.7175,1.657,0.514,0.7572331863285556,unclassified
FALCPAT_9566,63,323,1.5091904761904762,1.278,5.799,0.562,1.4407678018575847,unclassified
FALCPAT_7800,63,658,1.1094126984126984,0.872,3.659,0.507,1.0724756838905773,unclassified
FALCPAT_8136,63,647,1.203857142857143,0.886,7.021,0.507,0.9730340030911901,unclassified
FALCPAT_8811,63,1207,1.1027142857142858,0.982,3.271,0.517,0.9584225352112679,unclassified
FALCPAT_8724,63,1169,1.1311428571428572,0.943,3.915,0.544,0.9451958939264328,unclassified
FALCPAT_8577,63,678,1.054904761904762,0.861,4.916,0.508,0.884858407079646,unclassified
FALCPAT_9500,63,809,0.9945079365079366,0.761,2.285,0.503,0.8782088998763907,unclassified
FALCPAT_8641,63,1326,1.0132380952380953,0.894,2.907,0.509,0.8564419306184009,unclassified
FALCPAT_9367,63,1482,0.9801904761904763,0.836,2.687,0.503,0.8029817813765182,unclassified
FALCPAT_8262,63,1644,0.8812222222222222,0.749,2.256,0.502,0.7795158150851583,unclassified
FALCPAT_6809,63,1650,0.8606190476190476,0.754,3.243,0.506,0.7716890909090909,unclassified
FALCPAT_8261,62,716,1.1935967741935485,1.1015000000000001,2.741,0.51,0.9911941340782122,unclassified
FALCPAT_9508,62,667,1.1522096774193549,0.9365,5.664,0.509,0.9288620689655173,unclassified
FALCPAT_7745,62,571,1.138290322580645,0.816,5.555,0.504,0.9124798598949211,unclassified
FALCPAT_7509,62,1292,0.9423064516129033,0.7995000000000001,2.076,0.501,0.8197329721362228,unclassified
FALCPAT_7633,62,1482,0.9083548387096774,0.7655000000000001,2.066,0.507,0.7617354925775978,unclassified
FALCPAT_8404,62,2065,0.9556451612903226,0.764,2.457,0.501,0.7278004842615011,unclassified
FALCPAT_8876,61,689,1.1075409836065575,0.941,2.906,0.506,0.9743730043541363,unclassified
FALCPAT_8690,61,911,1.0774918032786887,0.82,3.2,0.503,0.9621536772777167,unclassified
FALCPAT_8721,61,528,1.0745245901639344,0.895,3.496,0.506,0.9586268939393939,unclassified
FALCPAT_6431,61,1396,1.0320491803278689,0.891,3.737,0.515,0.873038681948424,unclassified
FALCPAT_9113,61,876,0.9390983606557376,0.736,2.723,0.51,0.8581643835616439,unclassified
FALCPAT_8909,61,1807,0.9513114754098361,0.791,3.463,0.509,0.833634200332042,unclassified
FALCPAT_7506,61,1197,0.9804098360655737,0.818,3.381,0.517,0.8194202172096909,unclassified
FALCPAT_9501,61,1868,0.7289016393442623,0.702,1.386,0.505,0.7159646680942185,unclassified
FALCPAT_9339,60,458,1.2099499999999999,1.0325,4.097,0.53,1.1476724890829695,unclassified
FALCPAT_9244,60,778,1.2975999999999999,1.0545,5.297,0.519,1.0559704370179948,unclassified
FALCPAT_8585,60,871,1.1725166666666667,0.9465,3.646,0.55,1.0545384615384616,unclassified
FALCPAT_6512,60,764,1.3088666666666666,0.982,6.022,0.502,0.9945078534031415,unclassified
FALCPAT_8743,60,1059,1.3047499999999999,0.972,5.109,0.521,0.9379433427762041,unclassified
FALCPAT_8642,60,932,1.0574000000000001,0.853,2.874,0.518,0.8863154506437769,unclassified
FALCPAT_9542,60,1254,1.0057166666666668,0.916,2.924,0.505,0.862250398724083,unclassified
FALCPAT_6715,60,1239,0.9630833333333333,0.7324999999999999,2.57,0.52,0.8580193704600484,unclassified
FALCPAT_8881,60,933,0.9790500000000001,0.7615000000000001,2.719,0.501,0.8561425509110397,unclassified
FALCPAT_7183,60,1566,0.9179833333333334,0.788,2.497,0.52,0.8436998722860791,unclassified
FALCPAT_8685,60,964,0.9359333333333333,0.7785,2.652,0.508,0.827954356846473,unclassified
FALCPAT_8258,60,1177,0.92605,0.771,2.838,0.501,0.792824978759558,unclassified
FALCPAT_6566,60,1280,0.9408833333333333,0.7375,5.294,0.501,0.7894656249999998,unclassified
FALCPAT_6420,60,1489,0.8613666666666667,0.6835,2.303,0.503,0.7755540631296173,unclassified
FALCPAT_9122,60,1838,0.9296333333333333,0.7635000000000001,2.218,0.505,0.742177910772579,unclassified
FALCPAT_8469,60,1512,0.88385,0.7825,2.124,0.503,0.7326276455026455,unclassified
FALCPAT_9331,60,1752,0.8232833333333333,0.6915,1.614,0.505,0.7153167808219176,unclassified
FALCPAT_7469,59,450,1.2152372881355933,1.121,2.784,0.55,1.17814,unclassified
FALCPAT_7755,59,763,1.4727288135593222,1.158,5.764,0.512,1.1610432503276538,unclassified
FALCPAT_9449,59,602,1.434542372881356,1.222,3.851,0.536,1.1278820598006645,unclassified
FALCPAT_8958,59,644,1.3264237288135594,1.037,6.972,0.505,1.0257049689440993,unclassified
FALCPAT_8248,59,969,1.0669152542372882,0.946,2.86,0.507,0.9924385964912281,unclassified
FALCPAT_8138,59,810,1.1773728813559323,0.858,4.238,0.524,0.9699024691358025,unclassified
FALCPAT_6569,59,1041,1.1226101694915254,0.959,3.505,0.501,0.9363342939481268,unclassified
FALCPAT_7303,59,649,1.0631186440677967,0.898,3.426,0.518,0.9339429892141755,unclassified
FALCPAT_8097,59,1223,1.0388305084745764,0.938,3.208,0.514,0.8874848732624694,unclassified
FALCPAT_7624,59,908,0.9658305084745763,0.793,3.239,0.504,0.8578458149779735,unclassified
FALCPAT_9568,59,1628,0.9839661016949153,0.896,2.49,0.511,0.8262192874692875,unclassified
FALCPAT_7927,59,1619,0.9193559322033897,0.825,2.465,0.51,0.7744533662754784,unclassified
FALCPAT_8428,59,1472,0.8638305084745763,0.756,2.114,0.502,0.7662445652173914,unclassified
FALCPAT_7180,58,996,1.1375689655172414,0.92,4.381,0.513,0.9231034136546185,unclassified
FALCPAT_7446,58,814,1.0598275862068964,0.878,3.807,0.512,0.916076167076167,unclassified
FALCPAT_6266,58,871,1.0765862068965517,0.8945000000000001,2.361,0.522,0.9023731343283582,unclassified
FALCPAT_6427,58,1580,0.8820862068965517,0.713,3.035,0.506,0.7517455696202532,unclassified
FALCPAT_9261,58,2081,0.8926724137931035,0.741,3.479,0.518,0.6990153772224892,unclassified
FALCPAT_9112,57,346,1.3242280701754385,1.022,5.322,0.505,1.1343641618497111,unclassified
FALCPAT_8723,57,706,1.2880701754385966,1.05,6.25,0.524,1.06692776203966,unclassified
FALCPAT_7349,57,1145,0.907561403508772,0.774,1.694,0.508,0.8615213973799126,unclassified
FALCPAT_6895,57,1565,1.0175964912280702,0.842,2.687,0.505,0.8362645367412141,unclassified
FALCPAT_7085,57,1324,0.8064912280701754,0.723,1.715,0.501,0.7734169184290032,unclassified
FALCPAT_8966,57,1851,0.9933859649122807,0.851,2.928,0.514,0.7722787682333874,unclassified
FALCPAT_8617,57,1286,0.9398947368421052,0.739,2.907,0.513,0.7494370139968896,unclassified
FALCPAT_7712,56,1018,1.1135,0.918,3.208,0.515,0.9471277013752455,unclassified
FALCPAT_8669,56,1202,0.9423214285714286,0.7955000000000001,2.31,0.51,0.7937853577371048,unclassified
FALCPAT_9211,56,1513,0.9025357142857143,0.764,2.136,0.507,0.7818995373430272,unclassified
FALCPAT_8369,56,1343,0.8455892857142857,0.7024999999999999,2.756,0.502,0.7024951600893522,unclassified
FALCPAT_8365,55,464,1.3914545454545455,1.121,5.816,0.508,1.3126487068965513,unclassified
FALCPAT_8403,55,648,1.024,0.876,3.872,0.502,0.9393966049382714,unclassified
FALCPAT_8381,55,792,1.1000727272727273,0.933,2.735,0.528,0.9241780303030303,unclassified
FALCPAT_6545,55,1107,1.0391454545454546,0.87,3.425,0.526,0.8633116531165311,unclassified
FALCPAT_6223,55,957,1.234690909090909,0.764,5.377,0.504,0.8439028213166143,unclassified
FALCPAT_6793,55,1972,0.9028181818181819,0.65,2.756,0.504,0.7243930020283974,unclassified
FALCPAT_6320,55,2455,0.7380181818181818,0.666,1.579,0.503,0.6730729124236253,unclassified
FALCPAT_7296,54,682,1.3359074074074073,1.0505,4.418,0.504,1.014143695014663,unclassified
FALCPAT_7998,54,635,1.1189444444444445,0.884,4.564,0.505,1.006955905511811,unclassified
FALCPAT_6343,54,797,1.3687592592592592,0.973,4.175,0.502,1.0029611041405269,unclassified
FALCPAT_7572,54,789,1.1852962962962963,0.9655,3.382,0.508,0.889765525982256,unclassified
FALCPAT_8102,54,1068,0.969574074074074,0.7945,2.679,0.505,0.8544691011235955,unclassified
FALCPAT_9574,54,880,0.9647222222222221,0.8085,4.179,0.514,0.8447363636363636,unclassified
FALCPAT_8907,54,1426,0.7822407407407407,0.654,1.875,0.503,0.7398330995792426,unclassified
FALCPAT_6263,54,1807,0.7442222222222222,0.6515,1.622,0.507,0.7090287769784173,unclassified
FALCPAT_8040,53,428,1.2223773584905662,0.921,3.563,0.511,1.1110677570093457,unclassified
FALCPAT_9504,53,517,1.091132075471698,0.964,3.458,0.501,0.9517698259187621,unclassified
FALCPAT_8637,53,818,1.0654905660377358,0.858,3.583,0.567,0.9079193154034229,unclassified
FALCPAT_7494,53,777,1.1168490566037736,0.853,3.204,0.503,0.9026151866151868,unclassified
FALCPAT_9152,53,1218,0.9736415094339623,0.844,2.121,0.517,0.8296921182266009,unclassified
FALCPAT_7752,53,1214,0.9261698113207548,0.75,2.831,0.507,0.8094308072487645,unclassified
FALCPAT_7499,52,351,1.47125,1.2965,3.932,0.539,1.3187122507122508,unclassified
FALCPAT_6516,52,306,1.2549423076923079,1.029,4.795,0.524,1.156764705882353,unclassified
FALCPAT_8221,52,772,1.3141153846153846,1.097,3.553,0.505,1.0432784974093265,unclassified
FALCPAT_8574,52,773,1.2467307692307692,1.0225,4.904,0.514,0.9937309184993531,unclassified
FALCPAT_9429,52,846,1.1181153846153846,0.9315,3.062,0.51,0.9405449172576832,unclassified
FALCPAT_9205,52,706,1.0771538461538461,0.8554999999999999,3.407,0.549,0.9257535410764872,unclassified
FALCPAT_8597,52,920,1.068153846153846,0.902,3.078,0.508,0.8948391304347828,unclassified
FALCPAT_9493,52,898,0.9571153846153846,0.842,2.118,0.513,0.8423095768374165,unclassified
FALCPAT_8349,51,293,1.5542156862745098,1.133,6.083,0.501,1.451136518771331,unclassified
FALCPAT_7964,51,398,1.4689411764705882,1.22,5.083,0.501,1.34085175879397,unclassified
FALCPAT_7963,51,347,1.345705882352941,1.141,4.446,0.515,1.2763544668587898,unclassified
FALCPAT_7807,51,777,1.490078431372549,0.957,8.073,0.559,1.1994658944658945,unclassified
FALCPAT_7297,51,811,1.4556862745098038,0.913,7.143,0.529,1.0344734895191123,unclassified
FALCPAT_7785,51,619,1.0383529411764707,0.9,2.495,0.511,1.0038901453957998,unclassified
FALCPAT_7226,51,955,1.2807058823529411,0.944,3.316,0.512,0.9011895287958115,unclassified
FALCPAT_8580,51,1013,1.1027254901960784,0.915,2.907,0.524,0.8576821322803555,unclassified
FALCPAT_8042,51,1086,0.9902549019607844,0.763,2.418,0.504,0.8385699815837937,unclassified
FALCPAT_7999,51,1089,0.9862941176470589,0.752,2.418,0.504,0.8307575757575757,unclassified
FALCPAT_8737,51,1060,0.8874117647058825,0.795,1.65,0.519,0.8183933962264152,unclassified
FALCPAT_8581,51,1075,0.9504705882352942,0.883,2.115,0.506,0.8071134883720931,unclassified
FALCPAT_7741,51,1232,0.8824901960784314,0.752,1.959,0.504,0.7938360389610389,unclassified
FALCPAT_7713,51,1070,0.9392549019607843,0.707,4.083,0.503,0.7697345794392524,unclassified
FALCPAT_9186,50,337,1.4350800000000001,1.266,3.319,0.537,1.2362492581602373,unclassified
FALCPAT_7305,50,625,1.3860400000000002,0.9949999999999999,4.562,0.511,1.1229664000000001,unclassified
FALCPAT_7904,50,1099,0.9506600000000001,0.8325,2.595,0.503,0.8527743403093722,unclassified
FALCPAT_8596,50,1206,0.9526,0.823,1.982,0.506,0.7972744610281922,unclassified
FALCPAT_7909,50,1070,0.9766400000000001,0.7475,2.479,0.504,0.7693785046728973,unclassified
FALCPAT_8405,50,1309,0.773,0.6915,1.81,0.501,0.7069824293353706,unclassified
FALCPAT_9427,49,538,1.2511428571428571,0.946,3.209,0.514,1.0867026022304833,unclassified
FALCPAT_9340,49,679,1.3037346938775511,0.823,6.267,0.508,1.0082076583210606,unclassified
FALCPAT_6592,49,627,1.153204081632653,1.02,2.563,0.581,0.9475295055821371,unclassified
FALCPAT_6425,49,472,1.0821836734693877,0.822,2.855,0.505,0.933436440677966,unclassified
FALCPAT_9513,49,490,1.094734693877551,0.92,2.563,0.508,0.8841877551020408,unclassified
FALCPAT_9342,49,590,1.036795918367347,0.771,4.393,0.529,0.8653118644067795,unclassified
FALCPAT_8427,49,770,1.0100204081632653,0.853,2.667,0.515,0.8557051948051948,unclassified
FALCPAT_9177,49,1146,1.0505918367346938,0.864,2.745,0.505,0.8344764397905758,unclassified
FALCPAT_8774,49,1050,0.9732244897959185,0.783,2.719,0.514,0.8081066666666666,unclassified
FALCPAT_7862,49,1551,0.7743877551020408,0.704,1.606,0.515,0.7435138620245003,unclassified
FALCPAT_8325,48,398,1.4633125,1.2305000000000001,4.327,0.531,1.3140979899497487,unclassified
FALCPAT_8764,48,725,1.3991875,0.9984999999999999,6.474,0.524,1.0537144827586207,unclassified
FALCPAT_6151,48,993,1.1462083333333333,0.9085,3.896,0.501,1.015865055387714,unclassified
FALCPAT_7599,48,752,1.1393958333333334,0.946,3.381,0.522,0.9225026595744681,unclassified
FALCPAT_7056,48,883,0.9073958333333333,0.754,1.963,0.522,0.7913884484711212,unclassified
FALCPAT_7394,48,1528,0.8308541666666667,0.6735,2.693,0.505,0.7254155759162303,unclassified
FALCPAT_6693,47,519,1.2078936170212766,1.016,3.704,0.508,0.9711599229287091,unclassified
FALCPAT_6236,47,857,1.1497659574468087,0.874,4.475,0.506,0.9229789964994166,unclassified
FALCPAT_7360,47,913,0.9205531914893617,0.786,2.707,0.501,0.8546308871851039,unclassified
FALCPAT_7695,47,1496,0.804191489361702,0.695,2.239,0.502,0.7346885026737967,unclassified
FALCPAT_9195,47,1406,0.8720851063829788,0.703,2.368,0.506,0.6945355618776671,unclassified
FALCPAT_9370,46,469,1.6288478260869568,1.1745,5.006,0.518,1.3733624733475482,unclassified
FALCPAT_8377,46,520,1.3070434782608695,1.0314999999999999,4.09,0.521,1.1595096153846154,unclassified
FALCPAT_8851,46,568,1.4692826086956523,1.1055,6.071,0.518,1.1438873239436618,unclassified
FALCPAT_8569,46,528,1.1939565217391306,0.9395,4.674,0.528,0.989465909090909,unclassified
FALCPAT_8408,46,701,1.163108695652174,0.9415,3.235,0.512,0.9720299572039942,unclassified
FALCPAT_7767,46,619,0.9872826086956522,0.824,2.309,0.503,0.88924394184168,unclassified
FALCPAT_7312,46,665,0.9212608695652174,0.821,2.448,0.517,0.8607323308270678,unclassified
FALCPAT_8726,46,1035,0.9136521739130434,0.732,3.175,0.501,0.7562328502415461,unclassified
FALCPAT_8189,46,1283,0.8312173913043478,0.7335,2.369,0.505,0.7180506625097429,unclassified
FALCPAT_7553,46,1275,0.7916521739130434,0.6895,2.04,0.512,0.7007200000000002,unclassified
FALCPAT_9124,45,262,1.749688888888889,1.361,11.583,0.542,1.5148740458015266,unclassified
FALCPAT_7005,45,492,1.4366222222222222,1.191,3.888,0.514,1.154780487804878,unclassified
FALCPAT_8787,45,549,1.294688888888889,1.044,4.636,0.522,0.9775737704918035,unclassified
FALCPAT_8888,45,705,1.1654444444444445,0.911,2.962,0.527,0.8949716312056737,unclassified
FALCPAT_9448,45,703,0.9816222222222223,0.911,2.554,0.511,0.874886201991465,unclassified
FALCPAT_9043,45,791,0.9536444444444445,0.879,2.087,0.503,0.8619266750948168,unclassified
FALCPAT_7350,45,657,1.0763333333333334,0.761,3.331,0.516,0.8473531202435314,unclassified
FALCPAT_9150,45,816,0.9604,0.864,2.358,0.502,0.8159938725490196,unclassified
FALCPAT_8879,45,1023,0.9960666666666667,0.836,4.096,0.509,0.8126099706744869,unclassified
FALCPAT_9358,44,344,1.4356136363636365,1.0705,3.621,0.502,1.3362906976744189,unclassified
FALCPAT_7516,44,469,1.1859318181818181,0.973,3.371,0.513,1.1070597014925374,unclassified
FALCPAT_8096,44,566,1.3673409090909092,0.9605,4.844,0.528,1.0264717314487632,unclassified
FALCPAT_7253,44,818,0.9198409090909091,0.8115,2.496,0.512,0.8323264058679706,unclassified
FALCPAT_6881,44,740,0.9420227272727272,0.81,2.075,0.533,0.8319527027027028,unclassified
FALCPAT_9114,44,1084,0.9327045454545455,0.7295,2.668,0.502,0.8099529520295203,unclassified
FALCPAT_8292,44,1269,1.0292045454545453,0.784,4.613,0.521,0.7888156028368793,unclassified
FALCPAT_9512,44,1271,0.9521818181818182,0.792,2.19,0.501,0.7875656963021243,unclassified
FALCPAT_6392,44,1210,0.9852954545454545,0.734,3.138,0.504,0.7580256198347107,unclassified
FALCPAT_7947,44,1629,0.8096136363636363,0.719,1.677,0.509,0.7331804788213631,unclassified
FALCPAT_8689,44,1585,0.815,0.687,3.406,0.511,0.6647627760252367,unclassified
FALCPAT_9061,43,366,1.7011860465116277,1.543,4.229,0.543,1.4070054644808745,unclassified
FALCPAT_8501,43,455,1.3815581395348837,1.116,5.957,0.511,1.0884593406593404,unclassified
FALCPAT_7395,43,491,1.1851395348837208,0.961,2.679,0.501,1.0603767820773933,unclassified
FALCPAT_7306,43,678,1.3642093023255815,1.018,3.752,0.503,1.0141725663716814,unclassified
FALCPAT_8415,43,630,1.0271162790697674,0.779,3.547,0.522,0.952952380952381,unclassified
FALCPAT_6226,43,1039,0.8748837209302325,0.746,2.549,0.504,0.7410692974013473,unclassified
FALCPAT_9303,43,1198,0.8775813953488372,0.697,2.662,0.503,0.6985467445742904,unclassified
FALCPAT_6887,42,1026,1.2622142857142857,0.858,4.767,0.503,0.9710029239766081,unclassified
FALCPAT_6912,42,621,1.1212380952380951,0.879,3.285,0.51,0.9064251207729467,unclassified
FALCPAT_9430,42,793,1.0975238095238093,0.95,4.792,0.533,0.881828499369483,unclassified
FALCPAT_8229,42,892,0.9037380952380952,0.8494999999999999,1.965,0.503,0.8055100896860987,unclassified
FALCPAT_8875,42,1241,0.9953095238095239,0.7645,2.837,0.502,0.7433537469782433,unclassified
FALCPAT_8579,42,1009,0.7996904761904763,0.6904999999999999,1.668,0.505,0.740346878097126,unclassified
FALCPAT_9127,42,1114,0.8995952380952381,0.7925,3.044,0.501,0.7234901256732497,unclassified
FALCPAT_7828,42,1345,0.9575952380952382,0.6930000000000001,2.614,0.523,0.6947732342007436,unclassified
FALCPAT_7751,42,1296,0.7410238095238095,0.6884999999999999,1.242,0.507,0.6929097222222221,unclassified
FALCPAT_8376,41,345,1.3949756097560977,1.067,3.815,0.558,1.217342028985507,unclassified
FALCPAT_8094,41,218,1.1477317073170732,0.913,4.282,0.523,1.0294220183486238,unclassified
FALCPAT_8451,41,658,1.0315365853658536,0.885,3.046,0.525,0.8920091185410335,unclassified
FALCPAT_8652,41,643,1.0066585365853657,0.828,3.151,0.515,0.8332177293934682,unclassified
FALCPAT_8456,41,1447,0.7921951219512194,0.74,1.682,0.527,0.7761257774706288,unclassified
FALCPAT_7819,41,747,0.8485853658536586,0.704,1.807,0.513,0.7429049531459171,unclassified
FALCPAT_7649,41,874,0.9412682926829268,0.676,3.752,0.503,0.7234771167048055,unclassified
FALCPAT_8099,41,1617,0.7999756097560975,0.715,2.314,0.501,0.7106116264687693,unclassified
FALCPAT_8141,41,1592,0.7719024390243903,0.696,1.719,0.51,0.7100113065326633,unclassified
FALCPAT_6672,41,1617,0.844048780487805,0.686,3.105,0.503,0.6927612863327148,unclassified
FALCPAT_9518,40,456,1.418725,1.142,4.429,0.502,1.2457456140350875,unclassified
FALCPAT_6332,40,539,1.227825,0.9995,3.822,0.524,1.0329183673469389,unclassified
FALCPAT_6741,40,874,1.1095000000000002,0.819,4.387,0.506,0.9103009153318079,unclassified
FALCPAT_7352,40,906,1.061975,0.9199999999999999,2.455,0.507,0.8491666666666667,unclassified
FALCPAT_7458,40,1080,0.8614750000000001,0.7264999999999999,2.165,0.503,0.7563620370370371,unclassified
FALCPAT_8942,40,1132,0.7115750000000001,0.629,1.2,0.501,0.6978568904593639,unclassified
FALCPAT_7199,39,317,1.9207435897435898,1.655,4.824,0.512,1.7853501577287068,unclassified
FALCPAT_7770,39,186,1.6634871794871795,1.427,6.158,0.503,1.5992311827956989,unclassified
FALCPAT_9396,39,352,1.1423589743589744,1.038,3.471,0.519,1.0771448863636364,unclassified
FALCPAT_7221,39,702,1.0776666666666666,0.969,3.752,0.523,0.8777962962962963,unclassified
FALCPAT_7323,39,564,0.8850512820512821,0.774,1.943,0.503,0.842677304964539,unclassified
FALCPAT_8760,39,289,0.9415384615384615,0.83,2.515,0.514,0.8281072664359863,unclassified
FALCPAT_6507,39,807,1.0651025641025642,0.751,3.152,0.515,0.8038872366790581,unclassified
FALCPAT_8618,39,1221,0.8885641025641027,0.771,1.903,0.503,0.7765798525798526,unclassified
FALCPAT_6823,39,1343,0.7770769230769231,0.658,1.808,0.502,0.7359233060312732,unclassified
FALCPAT_7270,39,1263,0.930025641025641,0.763,1.881,0.508,0.7333673792557401,unclassified
FALCPAT_7348,39,1656,0.7330769230769231,0.643,1.453,0.52,0.7021859903381641,unclassified
FALCPAT_7880,38,246,1.9961315789473684,1.77,4.897,0.552,2.1088617886178866,unclassified
FALCPAT_8274,38,705,0.8989736842105264,0.8089999999999999,1.671,0.508,0.8974326241134751,unclassified
FALCPAT_6810,38,643,1.1007894736842105,0.8654999999999999,4.381,0.535,0.8806625194401245,unclassified
FALCPAT_9220,38,947,0.9335,0.749,2.485,0.505,0.8449545934530094,unclassified
FALCPAT_7911,38,1103,0.8491052631578947,0.7064999999999999,2.257,0.503,0.7358304623753399,unclassified
FALCPAT_6633,38,1369,0.8055263157894736,0.6785,2.225,0.522,0.7320511322132945,unclassified
FALCPAT_6647,38,1185,0.7826052631578948,0.681,2.158,0.507,0.7160599156118143,unclassified
