pattern,symbol,n,avg_d1,family,score_n_x_avg
FALCPAT_9506,VIJAYA,10,6.533,unclassified,65.33
FALCPAT_6458,VIJAYA,12,5.696,unclassified,68.352
FALCPAT_9426,VIJAYA,18,5.18,unclassified,93.24
FALCPAT_8970,IOB,10,5.123,unclassified,51.230000000000004
FALCPAT_8781,VIJAYA,17,4.928,unclassified,83.776
FALCPAT_8065,RVNL,12,4.712,unclassified,56.544
FALCPAT_8292,GMDCLTD,11,4.613,unclassified,50.743
FALCPAT_8407,RVNL,15,4.355,unclassified,65.325
FALCPAT_7964,ITI,10,4.292,unclassified,42.92
FALCPAT_9317,VIJAYA,12,4.176,unclassified,50.112
FALCPAT_8464,WOCKPHARMA,18,4.107,unclassified,73.926
FALCPAT_7199,MAZDOCK,10,4.098,unclassified,40.98
FALCPAT_7086,IOB,13,4.056,unclassified,52.728
FALCPAT_9522,VIJAYA,10,4.018,unclassified,40.18
FALCPAT_9016,VIJAYA,25,3.969,unclassified,99.225
FALCPAT_9457,ADANIENT,20,3.949,unclassified,78.97999999999999
FALCPAT_9109,VIJAYA,12,3.942,unclassified,47.304
FALCPAT_7560,ADANIENT,13,3.889,unclassified,50.556999999999995
FALCPAT_9221,OLECTRA,12,3.831,unclassified,45.972
FALCPAT_8429,GODREJIND,11,3.831,unclassified,42.141
FALCPAT_6578,CRAFTSMAN,11,3.808,unclassified,41.888
FALCPAT_8196,CAPLIPOINT,10,3.778,unclassified,37.78
FALCPAT_7801,VIJAYA,24,3.76,unclassified,90.24
FALCPAT_8506,ERIS,12,3.75,unclassified,45.0
FALCPAT_7807,UCOBANK,10,3.715,unclassified,37.15
FALCPAT_8065,SUZLON,10,3.705,unclassified,37.05
FALCPAT_9294,IOB,13,3.701,unclassified,48.113
FALCPAT_7631,KFINTECH,11,3.691,unclassified,40.601
FALCPAT_7834,ITI,16,3.629,unclassified,58.064
FALCPAT_8585,IOB,13,3.593,unclassified,46.709
FALCPAT_8646,IOB,13,3.583,unclassified,46.579
FALCPAT_7827,MMTC,10,3.58,unclassified,35.8
FALCPAT_8568,ERIS,11,3.56,unclassified,39.160000000000004
FALCPAT_8454,TECHNOE,13,3.551,unclassified,46.163000000000004
FALCPAT_7740,VIJAYA,11,3.52,unclassified,38.72
FALCPAT_8890,HFCL,16,3.519,unclassified,56.304
FALCPAT_9584,POLICYBZR,12,3.511,unclassified,42.132000000000005
FALCPAT_9426,LODHA,14,3.503,unclassified,49.042
FALCPAT_9317,GODREJIND,10,3.444,unclassified,34.44
FALCPAT_8619,SJVN,12,3.432,unclassified,41.184
FALCPAT_7508,LODHA,10,3.416,unclassified,34.16
FALCPAT_7112,BIKAJI,11,3.41,unclassified,37.510000000000005
FALCPAT_9547,VIJAYA,10,3.395,unclassified,33.95
FALCPAT_9518,BEML,10,3.392,unclassified,33.92
FALCPAT_7516,ITI,10,3.371,unclassified,33.71
FALCPAT_7545,VIJAYA,17,3.356,unclassified,57.052
FALCPAT_8247,ERIS,10,3.339,unclassified,33.39
FALCPAT_8464,RVNL,21,3.335,unclassified,70.035
FALCPAT_8422,BSE,15,3.322,unclassified,49.83
FALCPAT_8464,GALLANTT,20,3.317,unclassified,66.34
FALCPAT_7519,IOB,15,3.313,unclassified,49.695
FALCPAT_8371,JUBLPHARMA,12,3.312,unclassified,39.744
FALCPAT_8938,ITI,11,3.298,unclassified,36.278
FALCPAT_8199,NLCINDIA,10,3.297,unclassified,32.97
FALCPAT_6264,KAYNES,13,3.292,unclassified,42.796
FALCPAT_8245,JBMA,13,3.269,unclassified,42.497
FALCPAT_8464,UCOBANK,11,3.267,unclassified,35.937
FALCPAT_7618,KFINTECH,10,3.261,unclassified,32.61
FALCPAT_8332,GRAVITA,10,3.261,unclassified,32.61
FALCPAT_9424,ITI,10,3.261,unclassified,32.61
FALCPAT_9243,NUVAMA,11,3.258,unclassified,35.838
FALCPAT_7516,COCHINSHIP,10,3.248,unclassified,32.480000000000004
FALCPAT_8198,KFINTECH,12,3.245,unclassified,38.94
FALCPAT_6744,ACE,15,3.244,unclassified,48.660000000000004
FALCPAT_8143,ERIS,11,3.244,unclassified,35.684000000000005
FALCPAT_7880,GRSE,14,3.243,unclassified,45.402
FALCPAT_8464,IOB,13,3.229,unclassified,41.977000000000004
FALCPAT_6871,NAVA,17,3.2,unclassified,54.400000000000006
FALCPAT_6722,IOB,11,3.175,unclassified,34.925
FALCPAT_8668,NLCINDIA,10,3.166,unclassified,31.66
FALCPAT_9340,GODFRYPHLP,12,3.157,unclassified,37.884
FALCPAT_9427,JBMA,12,3.154,unclassified,37.848
FALCPAT_6507,RVNL,10,3.152,unclassified,31.520000000000003
FALCPAT_8940,REDINGTON,16,3.149,unclassified,50.384
FALCPAT_6151,NIACL,11,3.148,unclassified,34.628
FALCPAT_8964,ARE&M,11,3.144,unclassified,34.584
FALCPAT_8854,GODREJIND,11,3.142,unclassified,34.562
FALCPAT_8690,CONCORDBIO,10,3.128,unclassified,31.28
FALCPAT_7820,LODHA,14,3.124,unclassified,43.736000000000004
FALCPAT_7807,GRSE,14,3.118,unclassified,43.652
FALCPAT_8259,ITI,13,3.111,unclassified,40.443000000000005
FALCPAT_7747,VIJAYA,24,3.11,unclassified,74.64
FALCPAT_8724,POLICYBZR,14,3.102,unclassified,43.428
FALCPAT_8462,INTELLECT,11,3.094,unclassified,34.034
FALCPAT_8762,NIACL,13,3.085,unclassified,40.105
FALCPAT_8509,IOB,13,3.082,unclassified,40.065999999999995
FALCPAT_8546,ZENSARTECH,10,3.07,unclassified,30.7
FALCPAT_6996,PPLPHARMA,12,3.067,unclassified,36.804
FALCPAT_8645,IFCI,11,3.058,unclassified,33.638
FALCPAT_8451,COCHINSHIP,13,3.046,unclassified,39.598
FALCPAT_9427,KFINTECH,15,3.045,unclassified,45.675
FALCPAT_7880,ITI,13,3.045,unclassified,39.585
FALCPAT_9370,FACT,13,3.035,unclassified,39.455
FALCPAT_8622,ERIS,10,3.035,unclassified,30.35
FALCPAT_8877,NLCINDIA,10,3.03,unclassified,30.299999999999997
FALCPAT_8422,GMDCLTD,11,3.026,unclassified,33.286
FALCPAT_8723,TEGA,10,3.021,unclassified,30.21
FALCPAT_8361,VIJAYA,10,3.013,unclassified,30.13
FALCPAT_8406,ERIS,15,3.0,unclassified,45.0
FALCPAT_9185,OLECTRA,16,2.992,unclassified,47.872
FALCPAT_8066,VIJAYA,10,2.991,unclassified,29.91
FALCPAT_8221,ITI,16,2.987,unclassified,47.792
FALCPAT_8230,RVNL,24,2.986,unclassified,71.664
FALCPAT_6741,RVNL,17,2.982,unclassified,50.694
FALCPAT_7009,ERIS,10,2.958,unclassified,29.580000000000002
FALCPAT_7760,BSE,16,2.956,unclassified,47.296
FALCPAT_8408,ITI,20,2.921,unclassified,58.419999999999995
