pattern,symbol,n,avg_d1,family,score_n_x_avg
FALCPAT_7976,GODREJIND,5,4.403,unclassified,22.014999999999997
FALCPAT_8455,GODREJIND,5,4.403,unclassified,22.014999999999997
FALCPAT_6741,OLECTRA,6,4.387,unclassified,26.321999999999996
FALCPAT_8348,IFCI,5,4.381,unclassified,21.905
FALCPAT_8378,HFCL,5,4.368,unclassified,21.840000000000003
FALCPAT_9393,TTML,6,4.358,unclassified,26.147999999999996
FALCPAT_8378,VIJAYA,8,4.357,unclassified,34.856
FALCPAT_8407,RVNL,15,4.355,unclassified,65.325
FALCPAT_6474,CGCL,6,4.353,unclassified,26.118
FALCPAT_7297,CGCL,6,4.353,unclassified,26.118
FALCPAT_7320,CGCL,6,4.353,unclassified,26.118
FALCPAT_8317,MMTC,7,4.346,unclassified,30.422
FALCPAT_8547,IOB,8,4.338,unclassified,34.704
FALCPAT_8429,POONAWALLA,5,4.332,unclassified,21.66
FALCPAT_9370,POONAWALLA,5,4.332,unclassified,21.66
FALCPAT_6227,OLECTRA,5,4.331,unclassified,21.655
FALCPAT_8325,IRCON,6,4.327,unclassified,25.962
FALCPAT_6804,JKTYRE,5,4.326,unclassified,21.63
FALCPAT_8668,GPIL,8,4.325,unclassified,34.6
FALCPAT_9370,IOB,6,4.316,unclassified,25.896
FALCPAT_7964,ITI,10,4.292,unclassified,42.92
FALCPAT_7760,ERIS,5,4.289,unclassified,21.445
FALCPAT_8332,POONAWALLA,9,4.272,unclassified,38.448
FALCPAT_9266,JUBLPHARMA,8,4.265,unclassified,34.12
FALCPAT_7764,GODFRYPHLP,5,4.253,unclassified,21.265
FALCPAT_8525,HINDCOPPER,5,4.245,unclassified,21.225
FALCPAT_7764,POONAWALLA,7,4.237,unclassified,29.659
FALCPAT_8547,POONAWALLA,7,4.237,unclassified,29.659
FALCPAT_7764,INTELLECT,6,4.235,unclassified,25.410000000000004
FALCPAT_8462,GODFRYPHLP,7,4.231,unclassified,29.616999999999997
FALCPAT_8890,ERIS,9,4.224,unclassified,38.016000000000005
FALCPAT_8957,HBLENGINE,6,4.221,unclassified,25.326
FALCPAT_8230,IOB,9,4.209,unclassified,37.881
FALCPAT_9317,VIJAYA,12,4.176,unclassified,50.112
FALCPAT_8733,BIKAJI,5,4.164,unclassified,20.82
FALCPAT_8545,OLECTRA,8,4.159,unclassified,33.272
FALCPAT_6905,APARINDS,5,4.153,unclassified,20.764999999999997
FALCPAT_7297,BHEL,5,4.153,unclassified,20.764999999999997
FALCPAT_6467,GODREJIND,7,4.144,unclassified,29.008000000000003
FALCPAT_6223,EIDPARRY,6,4.143,unclassified,24.857999999999997
FALCPAT_8366,MRPL,6,4.137,unclassified,24.821999999999996
FALCPAT_7759,POONAWALLA,6,4.133,unclassified,24.798000000000002
FALCPAT_8269,GPIL,6,4.126,unclassified,24.756
FALCPAT_6905,RKFORGE,6,4.117,unclassified,24.701999999999998
FALCPAT_9258,ZENTEC,6,4.113,unclassified,24.678000000000004
FALCPAT_8464,WOCKPHARMA,18,4.107,unclassified,73.926
FALCPAT_8789,SUNDARMFIN,6,4.102,unclassified,24.612000000000002
FALCPAT_7004,ENGINERSIN,5,4.1,unclassified,20.5
FALCPAT_7199,MAZDOCK,10,4.098,unclassified,40.98
FALCPAT_8372,TARIL,5,4.098,unclassified,20.49
FALCPAT_9339,RKFORGE,7,4.097,unclassified,28.679000000000002
FALCPAT_9266,CGPOWER,6,4.097,unclassified,24.582
FALCPAT_8957,NUVAMA,6,4.096,unclassified,24.576
FALCPAT_8377,IOB,9,4.09,unclassified,36.81
FALCPAT_7755,NUVAMA,8,4.09,unclassified,32.72
FALCPAT_9403,LAURUSLABS,7,4.083,unclassified,28.581000000000003
FALCPAT_8462,TATACHEM,5,4.079,unclassified,20.395
