pattern,n_consistent,stocks,calc_n_consistent,pair_rows,total_occurrences,weighted_avg_d1,_merge,n_diff
FALCPAT_6223,55,"NUVAMA, EIDPARRY, POWERINDIA, GILLETTE, VBL, VIJAYA, ZENSARTECH, TATACOMM, HSCL, CAPLIPOINT, POLYMED, PFC, SHRIRAMFIN, LATENTVIEW, TRIDENT, NATIONALUM, SUPREMEIND, BIKAJI, RECLTD, ENDURANCE, HBLENGINE, JINDALSTEL, JSWDULUX, KFINTECH, SUNDARMFIN, CEMPRO, MPHASIS, RVNL, CLEAN, HDFCLIFE, TARIL, BLS, TATASTEEL, SHYAMMETL, INDIACEM, NAM-INDIA, DCMSHRIRAM, RAILTEL, BAJAJHLDNG, USHAMART",55,55,957,0.8439028213166143,both,0
FALCPAT_6226,43,"CONCORDBIO, FACT, FORCEMOT, GODFRYPHLP, HONASA, CARTRADE, BDL, JYOTICNC, DATAPATTNS, NETWEB, CARBORUNIV, PAYTM, GVT&D, INOXWIND, RADICO, ANURAS, RKFORGE, MAZDOCK, JUBLPHARMA, GRAPHITE, PATANJALI, POLICYBZR, MAPMYINDIA, DOMS, KIMS, GPIL, EIDPARRY, LODHA, UTIAMC, NUVAMA, ERIS, CREDITACC, POWERINDIA, HBLENGINE, ONGC, SHYAMMETL, JINDALSTEL, COCHINSHIP, NBCC, APLAPOLLO",43,43,1039,0.7410692974013473,both,0
FALCPAT_6227,69,"ITI, WOCKPHARMA, OLECTRA, TTML, MINDACORP, APARINDS, GRAPHITE, BEML, PTCIL, J&KBANK, ETERNAL, IFCI, HOMEFIRST, JIOFIN, SYRMA, JWL, PARADEEP, HUDCO, TRENT, CHOLAHLDNG, JPPOWER, LTFOODS, BAJAJHLDNG, RITES, BLS, DIXON, GRAVITA, LODHA, DOMS, M&MFIN, SAIL, TIMKEN, FIVESTAR, SHREECEM, SBIN, PFIZER, SCHAEFFLER, FSL, JSWDULUX, COHANCE",69,69,873,0.9408717067583046,both,0
FALCPAT_6228,13,"HONAUT, ITI, GMDCLTD, COCHINSHIP, PFIZER, GSPL, ADANIGREEN, BDL, TATAINVEST, NIACL, BSE, CONCORDBIO, UNOMINDA",13,13,495,0.8568323232323232,both,0
FALCPAT_6229,77,"AMBER, VIJAYA, KPRMILL, ANANDRATHI, FSL, NLCINDIA, 360ONE, POLICYBZR, TARIL, ACE, APARINDS, ADANIPOWER, NAVA, LTFOODS, RADICO, VTL, KFINTECH, SHYAMMETL, TATAINVEST, BANKBARODA, PPLPHARMA, COHANCE, CEATLTD, MINDACORP, KIMS, HINDUNILVR, PHOENIXLTD, BAJAJ-AUTO, POONAWALLA, IREDA, SBICARD, ASAHIINDIA, ITI, IDBI, ACUTAAS, MFSL, KARURVYSYA, ERIS, BAJAJHLDNG, SYRMA",77,77,1869,0.8309882289994648,both,0
FALCPAT_6236,47,"UCOBANK, GSPL, NIACL, SCHAEFFLER, MRPL, TRIDENT, IOB, HINDZINC, GRSE, JMFINANCIL, COCHINSHIP, ABBOTINDIA, KFINTECH, BDL, TIMKEN, ATGL, ITI, HONAUT, KAYNES, FIVESTAR, HUDCO, PFIZER, FLUOROCHEM, MMTC, SOBHA, CLEAN, MAZDOCK, SYRMA, CDSL, MAPMYINDIA, CREDITACC, BPCL, ZENTEC, SAIL, USHAMART, KALYANKJIL, DATAPATTNS, CHOLAHLDNG, GODREJIND, IRCON",47,47,857,0.9229789964994166,both,0
FALCPAT_6245,38,"AIIL, TATACONSUM, BDL, ANURAS, TATAINVEST, ITI, KFINTECH, BSE, GODREJIND, BEML, SHREECEM, IREDA, ADANIENT, PATANJALI, 3MINDIA, CHOICEIN, SIGNATURE, JSWINFRA, LICI, GRAVITA, SYNGENE, ASIANPAINT, SBFC, SBICARD, STARHEALTH, GRASIM, GILLETTE, SAREGAMA, MAZDOCK, JKCEMENT, M&M, ERIS, HDFCLIFE, BIKAJI, OLECTRA, MAPMYINDIA, M&MFIN, TATAPOWER",38,38,1457,0.7063761153054221,both,0
FALCPAT_6251,103,"VIJAYA, RADICO, IDBI, SBICARD, PHOENIXLTD, BANKBARODA, LTFOODS, POONAWALLA, TATAINVEST, AEGISLOG, IPCALAB, UBL, NAVA, JUBLPHARMA, APTUS, J&KBANK, TRITURBINE, NLCINDIA, CAPLIPOINT, PPLPHARMA, WELCORP, BAYERCROP, HBLENGINE, SAREGAMA, GRANULES, BLS, CROMPTON, PFC, MAZDOCK, PARADEEP, YESBANK, HINDCOPPER, SARDAEN, SJVN, EXIDEIND, GILLETTE, CGPOWER, LODHA, OLECTRA, MAPMYINDIA",103,103,1349,1.0740896960711641,both,0
FALCPAT_6255,17,"NAVINFLUOR, STARHEALTH, HONASA, MGL, GUJGASLTD, PETRONET, SRF, CHOLAFIN, HDFCAMC, ATUL, BSOFT, NAUKRI, COROMANDEL, ANURAS, OBEROIRLTY, IGL, CUMMINSIND",17,17,339,0.8352861356932154,both,0
FALCPAT_6263,54,"VIJAYA, FORTIS, FSL, ACE, LT, POLICYBZR, BEL, NH, GVT&D, AJANTPHARM, BAJAJHLDNG, INDIGO, ADANIPOWER, BANKBARODA, ANANDRATHI, PATANJALI, MAXHEALTH, GLENMARK, APARINDS, NUVAMA, MCDOWELL-N, JBCHEPHARM, VBL, PETRONET, RADICO, TVSMOTOR, JUBLPHARMA, ASAHIINDIA, HINDCOPPER, DLF, CHOICEIN, SUNTV, KEI, DRREDDY, 360ONE, COHANCE, INOXWIND, MAHABANK, NEWGEN, EIHOTEL",54,54,1807,0.7090287769784173,both,0
FALCPAT_6264,67,"ECLERX, PGEL, KAYNES, JSWINFRA, JYOTICNC, JINDALSTEL, POLYCAB, NETWEB, KIRLOSENG, RKFORGE, FLUOROCHEM, JSWDULUX, NATIONALUM, TORNTPOWER, JIOFIN, NEULANDLAB, CESC, NCC, AJANTPHARM, ZENSARTECH, FACT, GPIL, TATASTEEL, AEGISLOG, KPIL, BLS, TITAN, TRENT, BALKRISIND, ACE, SBILIFE, GODREJIND, THERMAX, CGPOWER, JSWSTEEL, TECHNOE, CUMMINSIND, INTELLECT, HAVELLS, LTM",67,67,1012,0.9656590909090909,both,0
FALCPAT_6266,58,"GALLANTT, EIHOTEL, AEGISLOG, ESCORTS, CHOLAFIN, PHOENIXLTD, GODREJIND, KPRMILL, GRANULES, LEMONTREE, BALKRISIND, POWERGRID, ASHOKLEY, GODFRYPHLP, FIVESTAR, VTL, SHRIRAMFIN, SAREGAMA, VIJAYA, LODHA, HBLENGINE, BSE, ZOMATO, TVSMOTOR, PTCIL, HCLTECH, INFY, CHALET, PARADEEP, ECLERX, JYOTICNC, PNBHOUSING, HEG, ABBOTINDIA, EIDPARRY, CCL, DCMSHRIRAM, BIKAJI, CEMPRO, GLENMARK",58,58,871,0.9023731343283582,both,0
