pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,rule
7809,32,0.65625,0.35914373287297763,0.5122637144918608,2.3296625467334344,-1.9633289424560065,0.4831077350878594,0.08346777109145981,0.6962483501717218,0.625,0.768889172644954,1.0360733477776154,3.9667702157330433,-3.236010182043675,0.4525410058952512,0.01149690148481014,0.9936560867959563,0.625,1.0454170277190502,1.5823232482721707,4.6810184173403036,-3.5326586029822313,0.4525410058952512,0.0006958213767993549,1.162636233492224,1.0,0.06194973351165817,atr_20_pct <= 3.3686 AND atr_20_pct > 2.7773 AND n_higher_lows_5d <= 1.5000 AND weekly_close_loc <= 0.5200
7993,131,0.5572519083969466,0.04929795331983033,0.25883883616271597,3.078887424812413,-3.148754311179062,0.47176553459047255,0.07212557059407293,0.38640257061857447,0.5801526717557252,0.6539028860906442,0.8701030103010422,4.967506667189353,-4.41907074246534,0.49453478922167166,0.05349068481123059,0.8786698002416464,0.5877862595419847,0.7253356837210767,0.8692741612083933,6.210572338251466,-5.607561391646447,0.5021640639675548,0.050318879449102905,0.8425548894942505,1.0,0.5354769181302746,n_higher_lows_5d <= 2.5000 AND n_sub_3_range_7d <= 3.5000 AND n_sub_75v_20d <= 13.5000 AND weekly_close_loc <= 0.5865
6650,63,0.5714285714285714,0.16870125729416183,0.32206790508249494,1.6744807286324042,-1.4109348274527886,0.4486139508259402,0.04897398682954057,0.5058058745929059,0.5714285714285714,0.40510987286301386,0.5887882333277573,2.7386747149373596,-2.0584151993355078,0.4486139508259402,0.007569846415499126,0.6298767870140161,0.5396825396825397,0.7864331087803275,0.9454315754477794,3.635274508531326,-2.4771059405906417,0.4178903692159613,-0.03395481530249056,0.9036523145535013,1.0,0.021251110397187134,atr_20_pct <= 3.2273 AND n_sub_2_5_range_7d <= 3.5000 AND n_sub_75v_20d <= 5.5000 AND weekly_close_loc <= 0.5518
5356,25,0.64,-0.017868758626048527,0.40369785794814217,1.954031397482658,-2.0896420229008292,0.44518154601046633,0.04554158201406672,0.3192358586726956,0.68,0.10532335874957732,1.0923058536205057,2.9476640624332977,-3.408388487541304,0.48409913734576715,0.04305503293532609,0.3300902729005795,0.64,1.0296837496007425,2.468981606101388,3.6629062477869274,-3.6173365350330187,0.44518154601046633,-0.006663638507985514,1.1469029553739163,0.0,1.7309987500938235,atr_20_pct <= 3.8365 AND weekly_close_loc > 0.6391 AND weekly_close_vs_sma20 > -0.9678 AND weekly_range_pct > 9.1801
8965,42,0.5952380952380952,0.6641887485723162,0.4815368834962853,2.293312313373292,-1.5800043327973887,0.4449404552817742,0.04530049128537461,1.0012933658710603,0.6190476190476191,1.2534096905210026,0.9569949224692944,3.606705658486145,-2.1871648041265597,0.46813768219996377,0.027093577789522705,1.4781766046720048,0.6190476190476191,1.6530786092949352,1.6393966693742759,4.283531675268531,-2.362767720036182,0.46813768219996377,0.01629249768151192,1.770297815068109,1.0,0.5724849552607931,atr_20_pct <= 3.5669 AND dist_high_120 <= -15.7106 AND n_sub_3_range_7d <= 3.5000 AND rs_market_60d <= -0.0651
7051,50,0.58,-0.28146558801381244,0.6003845246342167,3.378517885716346,-4.297929994750939,0.4423319668777783,0.0426920028813787,0.055639029284931696,0.64,-0.16220873426172133,1.3308251881741164,5.166589360393109,-6.141801262438371,0.5014076201030194,0.06036351569257836,0.06255817988928086,0.62,-0.6526960091560028,1.2518130981355837,6.642538739313968,-7.888744528068512,0.48150195022393577,0.029656765705483923,-0.535476803382829,0.0,1.133079398850874,atr_20_pct > 2.1406 AND dist_sma_50 <= -5.4598 AND slope_sma_20 <= 2.2827 AND weekly_close_loc <= 0.0938
9441,26,0.6153846153846154,0.025249979387439978,0.3686390521807904,1.9129918915471733,-2.0204770674431476,0.4253452003942009,0.025705236397801257,0.36235459668618414,0.6923076923076923,1.5233090897604655,1.137635654130569,3.586810603023117,-2.3750741613688167,0.5001138848576876,0.059069780447246534,1.7480760039114678,0.6153846153846154,1.2838638015255226,0.8443729532896339,4.703887037464801,-3.0536885648520506,0.4253452003942009,-0.026499984124250975,1.4010830072986964,1.0,0.5537862490805292,atr_20_pct <= 4.2366 AND roc_20 <= -4.2176 AND roc_60 <= -14.0108 AND roc_60 > -17.3893
7786,56,0.5535714285714286,0.3392936319094135,0.4366406561620396,1.9937438367433857,-2.074005986637176,0.4241298613178389,0.024489897321439302,0.6763982492081576,0.625,1.1694855607546992,0.8274882716240707,3.2560046654022647,-2.5230204071986937,0.49405126034489305,0.05300715593445199,1.3942524749057015,0.6428571428571429,1.8748031255605768,1.4651276310936037,4.589528569135764,-2.9583094982455194,0.5119364571733127,0.06009127265486086,1.9920223313337506,1.0,0.6713156294900099,n_sub_2_5_range_7d <= 0.5000 AND weekly_close_vs_sma20 <= 3.0555 AND weekly_range_pct <= 9.0613
8568,28,0.6071428571428571,0.45490200905678585,0.5415042419607264,1.942220125848911,-1.3809788196720951,0.42408726034906297,0.02444729635266335,0.79200662635553,0.6428571428571429,0.9286023631164262,1.2330954749155845,2.933979707921481,-1.8410775694938832,0.4582997758222724,0.01725567141183132,1.1533692772674284,0.5714285714285714,1.3279499309567007,0.7538208376118783,3.5112836325014856,-2.1228926745864447,0.390704789856154,-0.06114039466229787,1.4451691367298745,1.0,0.9775627095395036,atr_20_pct <= 4.0236 AND weekly_close_loc > 0.4465 AND weekly_range_pct > 11.0237
8720,49,0.5510204081632653,0.4074952982831422,0.4889599449888139,2.1901736547042274,-1.6872855972542886,0.4131486679967811,0.01350870400038151,0.7445999155818863,0.5102040816326531,0.4153716368700379,0.272432432432428,3.1675116531441954,-2.4497934528379472,0.3746733153340922,-0.06637078907634886,0.6401385510210401,0.5102040816326531,0.14649851202516675,0.6820343550016751,3.661413730069546,-3.264359710601429,0.3746733153340922,-0.07717186918435964,0.2637177177983406,1.0,0.745141300417124,atr_20_pct <= 3.6240 AND atr_20_pct > 2.7974 AND slope_sma_20 > -0.6835 AND weekly_close_loc <= 0.5958
4723,122,0.5,-0.12263817156099206,-0.021216548340425717,1.7082923146675562,-1.7028454064869527,0.41263973153756023,0.012999767541160612,0.2144664457377521,0.47540983606557374,0.1809316751476721,-0.11185531150864167,2.550063183719735,-2.4215563361431376,0.38890272235052964,-0.05214138205991142,0.4056985892986743,0.5573770491803278,0.5506112477542814,0.706596254369889,3.3445885876676575,-2.9090268893893656,0.468824650151743,0.01697946563329117,0.6678304535274552,1.0,0.1674545690283,atr_20_pct <= 4.0840 AND dist_sma_50 <= -2.3001 AND n_sub_3_range_7d <= 4.5000 AND rs_market_20d <= -0.1319
8423,41,0.5609756097560976,-0.19368931807022627,0.2263836447226987,1.770249937158158,-2.0627535345434724,0.41040265151757305,0.01076268752117343,0.14341529922851787,0.5121951219512195,-0.04020846465918637,0.3441095890411018,2.8665557799663466,-3.227011191159797,0.36484259315865186,-0.0762015112517892,0.18455844949181582,0.4878048780487805,0.02497330603938759,-0.3902149669626497,4.114150208223257,-4.297671923960165,0.3425418723993569,-0.10930331211909494,0.14219251181256143,0.0,1.0603112956307665,atr_20_pct <= 4.3977 AND dist_sma_200 <= 8.5875 AND dist_sma_50 <= -8.6844
4417,39,0.5641025641025641,0.10729393276379305,0.2195490064746554,2.31214954572057,-2.223024052565333,0.4097542347452211,0.010114270748821486,0.4443985500625372,0.5384615384615384,0.12221618544536816,0.07342375875339271,3.843865947497991,-3.6744215386401855,0.38569186821738816,-0.055352236193052906,0.34698309959637036,0.48717948717948717,0.1808058162198839,-0.34554042579955746,4.607176410514983,-4.609182342430074,0.3386492878313309,-0.11319589668712093,0.29802502199305775,1.0,0.36406419543324997,atr_20_pct > 3.0052 AND dist_high_10 <= -6.5525 AND roc_20 > -13.3889 AND weekly_close_loc <= 0.3852
8026,58,0.5344827586206896,-0.5665766743140515,0.14658662041336268,4.223728717192916,-5.445455727678717,0.40799953310272963,0.008359569106330011,-0.22947205701530732,0.5517241379310345,-0.3845723619075537,0.8215288766519381,6.551425735190848,-7.912165793109748,0.4245185822161052,-0.01652552219433584,-0.15980544775655148,0.5,-0.5722597717206701,-0.17631544073130712,8.497899757226868,-10.105445035455576,0.3753805824767928,-0.07646460204165906,-0.45504056594749626,0.0,1.762723777089888,atr_20_pct > 2.3496 AND n_sub_75v_20d <= 14.5000 AND rs_market_60d <= -14.1536 AND weekly_close_loc <= 0.5745
