pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,lift_over_best_single
8965+4723,27,0.7037037037037037,0.7664518467311886,0.5887610428786872,2.3153340914077325,-1.4544998506425681,0.515189666191624,0.11554970219522437,1.1035564640299327,0.7037037037037037,1.2396213087666668,1.562921914357678,3.1103977373319944,-1.832913880649735,0.515189666191624,0.07414556178118292,1.464388222917669,0.7037037037037037,1.675744678472688,2.1074603535238756,3.794427311346681,-2.027047882567977,0.515189666191624,0.06334448167317214,1.7929638842458617,1.0,0.7775577273471324,0.07024921090984976
5305+6671,29,0.6896551724137931,1.1211938153231655,0.4889599449888139,2.448254859966898,-1.1481166492183679,0.5076952952728147,0.10805533127641503,1.4582984326219097,0.6551724137931034,1.532602558492458,0.8701030103010422,3.7551634220785783,-1.5341641753464448,0.47344776507155983,0.03240366066111877,1.7573694726434603,0.7241379310344828,1.8561360896471817,1.6092307692307675,4.350884872375473,-1.754861295776638,0.5428252365556403,0.09098005203718845,1.9733552954203555,1.0,0.6884860367574425,0.12874172773781056
7993+7555,57,0.631578947368421,1.1481596206459135,0.5352333348480222,3.44253710932171,-1.960178310777474,0.5017755948554761,0.10213563085907645,1.4852642379446577,0.6842105263157895,2.6861582446954477,1.362756273925996,5.778985025447707,-2.382454502815529,0.5551998120281706,0.11415570761772953,2.91092515884645,0.6842105263157895,3.310193478726696,1.8744091422830558,7.119595361308982,-3.014428404074567,0.5551998120281706,0.10335462750971874,3.42741268449987,1.0,0.3986663012207491,0.030010060265003524
9166+5305,26,0.6923076923076923,1.2683857938753715,0.4964914084438711,2.5708285769376156,-1.159113888330525,0.5001138848576876,0.10047392086128798,1.6054904111741157,0.6538461538461539,1.964317925085593,1.1164296421135191,4.034238740689552,-1.3682855671187162,0.46220229009632996,0.021158185685888897,2.189084839236595,0.7692307692307693,2.215214680828175,1.621321489302823,4.696567092503709,-1.5697210354932047,0.5794807424804321,0.12763555796198028,2.332433886601349,1.0,1.0177098648198446,0.1171678618535047
5510+8139,26,0.6923076923076923,1.4755955598212838,0.9219904078563592,3.457657759819682,-1.9750038414718802,0.5001138848576876,0.10047392086128798,1.812700177120028,0.7307692307692307,3.0937488078047783,1.6343110186741219,6.012982411704465,-2.557283504393698,0.5391659658023868,0.09812186139194579,3.3185157219557806,0.8076923076923077,4.137268615207258,3.585410004244398,7.420535923186027,-2.811425374644528,0.6212336384535001,0.16938845393504826,4.254487820980432,1.0,0.17572264766546836,0.1099909697787641
7993+5465,74,0.6081081081081081,-0.05659150999172737,0.42543943055264777,3.2637989026382646,-3.526088146700052,0.49419310534999833,0.09455314135359871,0.2805131073070168,0.6621621621621622,0.2756199615027645,1.3331145195538732,4.897521722372309,-4.956520389671968,0.5487829947311835,0.10773889032074246,0.5003868756537667,0.6486486486486487,0.006124700086797351,1.3131830117143186,6.037928150721594,-6.245631611547243,0.5350055040184238,0.08316031949997199,0.12334390585997118,0.0,1.0947640589980785,0.022427570759525783
7410+9498,28,0.6785714285714286,0.37681167210635047,0.49838044038041274,1.7567734986199792,-1.2487361740481158,0.4933850455563118,0.09374508155991218,0.7139162894050946,0.6785714285714286,0.7655151313308858,0.6156958205819675,2.7085767839248014,-1.4531960776841901,0.4933850455563118,0.052340941145870734,0.9902820454818879,0.75,1.0962229296796009,1.053914789420767,3.321610677552834,-1.6173297412148764,0.566439747592954,0.11459456307450216,1.2134421354527747,1.0,1.005682294200551,0.09389641808508481
5386+5510,58,0.6206896551724138,0.4599623631155555,0.3985770124688194,2.204668510301837,-1.617890208057363,0.49202571736165573,0.09238575336525612,0.7970669804142996,0.603448275862069,1.2442365923069647,0.9501393256864656,3.7204343633654813,-2.2005380615458203,0.47492982807449885,0.03388572366405779,1.469003506457967,0.5862068965517241,1.8149087900049738,1.6525189682166699,4.6003141743353995,-2.4782125961009736,0.4579817755925391,0.006136591074087261,1.9321279957781476,1.0,0.8173530010765937,0.09303051459584494
7993+4723,51,0.6274509803921569,0.4898908013822781,0.51672649321171,2.061564886976389,-1.4202345215174643,0.4902496270033425,0.0906096630069429,0.8269954186810222,0.6470588235294118,1.325984144812433,1.3734910811794834,3.2250342519419832,-1.752951648851035,0.5098580497281073,0.06881394531766627,1.5507510589634352,0.7450980392156863,1.9094117979646361,1.6233753148614574,3.964024163044491,-1.909264052324665,0.6113145589385129,0.1594693744200611,2.02663100373781,1.0,0.6789547566347212,0.018484092412869968
7993+5510,62,0.6129032258064516,0.016978618032438747,0.38165786359789966,3.302318610992133,-3.8081067009927847,0.4884761620578099,0.0888361980614103,0.3540832353311829,0.6612903225806451,0.689729123536056,1.4540319020520933,5.4935436730536775,-5.344730887309822,0.5371746717131098,0.09613056730266878,0.9144960376870581,0.6129032258064516,0.6209052935619889,1.6525189682166699,6.88668415259729,-6.537799525229087,0.4884761620578099,0.03663097753935807,0.7381244993351627,0.0,1.0111728591983662,0.01671062746733737
