trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable
2025-01-01,VIJAYA,14,ENTERPRISE-Dryup,09:15,1050,15:29,1060,0.95,EOD,6.89,34456,6891.2,1
2025-01-02,FORCEMOT,2,ENTERPRISE-Dryup,09:15,6698,15:29,7181,7.21,EOD,28.52,142607,28521.4,1
2025-01-02,OIL,3,GOLD,09:15,435.65,15:29,464,6.51,EOD,28.52,142607,28521.4,1
2025-01-02,DMART,4,PREMIUM-Compression,09:15,3564.95,15:29,3615.3,1.41,EOD,28.52,142607,28521.4,1
2025-01-02,CHOLAHLDNG,5,PREMIUM-Compression,09:15,1399.4,15:29,1497.55,7.01,EOD,28.52,142607,28521.4,1
2025-01-02,SUNDARMFIN,6,ENTERPRISE-Dryup,09:15,4125.65,15:29,4726,14.55,EOD,28.52,142607,28521.4,1
2025-01-02,HUDCO,7,GOLD,09:15,238,15:29,242.65,1.95,EOD,28.52,142607,28521.4,1
2025-01-02,EICHERMOT,10,ENTERPRISE-Dryup,09:15,4885,15:29,5303,8.56,EOD,28.52,142607,28521.4,1
2025-01-02,CARTRADE,12,ENTERPRISE-Dryup,09:15,1516.65,15:29,1601,5.56,EOD,28.52,142607,28521.4,1
2025-01-02,IGL,14,PREMIUM-Compression,09:15,205.5,15:29,215,4.62,EOD,28.52,142607,28521.4,1
2025-01-02,MAHABANK,15,PREMIUM-Compression,09:15,52.59,15:29,52.7,0.21,EOD,28.52,142607,28521.4,1
2025-01-03,DMART,1,ENTERPRISE-Dryup,09:15,3840,15:29,4012.75,4.5,EOD,27.82,139105,27821.0,1
2025-01-03,SAREGAMA,2,GOLD,09:15,478.25,15:29,532.6,11.36,EOD,27.82,139105,27821.0,1
2025-01-03,SHYAMMETL,6,GOLD,09:15,740,15:29,780,5.41,EOD,27.82,139105,27821.0,1
2025-01-03,IREDA,7,GOLD,09:15,221.58,15:29,229.6,3.62,EOD,27.82,139105,27821.0,1
2025-01-03,RITES,9,GOLD,09:15,300,15:29,294.8,-1.73,EOD,27.82,139105,27821.0,0
2025-01-03,ITI,11,GOLD-baseline,09:15,385.5,15:29,457.1,18.57,EOD,27.82,139105,27821.0,1
2025-01-03,MAHABANK,12,ENTERPRISE-Dryup,09:15,54.71,15:29,55.29,1.06,EOD,27.82,139105,27821.0,1
2025-01-03,HUDCO,14,GOLD,09:15,242.85,15:29,248.05,2.14,EOD,27.82,139105,27821.0,1
2025-01-06,TARIL,1,GOLD-baseline,09:15,637,09:15,634.5,-0.39,HARD_STOP,-3.91,-19562,-3912.4,0
2025-01-06,FORCEMOT,2,GOLD-baseline,09:15,7315,09:15,7268.9,-0.63,HARD_STOP,-3.91,-19562,-3912.4,0
