month,days,win_pct,avg_names,deployed_1x_rs,pnl_1x_rs,ret_1x_pct,deployed_5x_capital_rs,pnl_5x_rs,ret_5x_pct,avg_day_5x_pct,cum_pnl_1x_rs,cum_pnl_5x_rs
2025-01,23,52.17391304347826,14.956521739130435,8366370.36,39311.297770565514,0.4698727892625293,8554508.336,213937.4552518996,2.500873771454346,2.469015613509278,39311.297770565514,213937.4552518996
2025-02,20,40.0,15.0,7334566.8,19754.00599759684,0.26932750817126433,7468078.71,110421.32697634566,1.4785774395827929,1.4770689182521322,59065.303768162354,324358.7822282453
2025-03,19,57.89473684210527,14.789473684210526,6874289.66,58554.68339027496,0.851792494735739,6994351.444,308166.28741373087,4.405930841208826,4.387160418911917,117619.98715843732,632525.0696419762
2025-04,19,57.89473684210527,14.789473684210526,6825287.63,75334.01153698642,1.1037485249099521,6985672.93,396588.4296283843,5.677168593525668,5.576307531232524,192953.99869542374,1029113.4992703605
2025-05,21,76.19047619047619,14.952380952380953,7647589.74,77101.87841803793,1.0081853373326735,7807263.2360000005,406738.9572331295,5.2097507787059,5.217531426260543,270055.87711346167,1435852.45650349
2025-06,21,33.33333333333333,15.0,7625810.47,-14981.838757256743,-0.19646224904481194,7823084.75,-63726.857782129664,-0.8146001202675155,-0.8205845588101559,255074.03835620492,1372125.5987213603
2025-07,23,34.78260869565217,15.0,8194806.76,-25587.104449908555,-0.3122356048077033,8543526.486,-114657.30055545819,-1.3420371639666993,-1.342441668081538,229486.93390629638,1257468.298165902
2025-08,19,15.789473684210526,15.0,6933799.52,-33378.49866864357,-0.4813882860669092,7090277.096,-161474.43910682638,-2.277406607957856,-2.278711872537891,196108.4352376528,1095993.8590590756
2025-09,22,50.0,15.0,7910075.78,-9051.740628608897,-0.11443304565419597,8175162.77,-40902.745864977354,-0.5003294370489624,-0.5075840589266946,187056.6946090439,1055091.1131940982
2025-10,20,20.0,15.0,7252954.9799999995,-29721.047632563466,-0.40977846566701653,7452171.736,-140926.78981005822,-1.8910834962279275,-1.891532992721384,157335.64697648044,914164.32338404
2025-11,19,15.789473684210526,15.0,6964911.33,-34797.213506007814,-0.4996074157631496,7087137.454,-167376.94472293634,-2.3617002747487046,-2.3651006338942793,122538.43347047262,746787.3786611037
2025-12,22,27.27272727272727,15.0,8020955.54,-10693.56680636062,-0.1333203600622454,8203681.18,-42989.11976168933,-0.5240223116726404,-0.524770456174455,111844.86666411199,703798.2588994143
