config_id,top_singles,top_pairs,min_winner_hits,rule_w,profile_w,loser_w,symbol_w,lane_w,day_profitable_capture,day_coverage,day_replay_ret5x,day_replay_win,month_profitable_capture,month_coverage,month_replay_ret5x,month_replay_win
V13C0002,90,60,2,2.0,0.6,0.0,1.2,0.2,,,,,9.129213483146067,11.591836734693878,-29.662288785113667,34.751773049645394
V13C0003,70,60,2,1.8,1.0,0.0,1.5,0.2,,,,,8.98876404494382,10.938775510204081,36.22505786773945,34.751773049645394
V13C0001,70,45,3,2.0,0.7,0.0,1.0,0.3,,,,,8.286516853932584,11.10204081632653,-43.818974978352884,33.33333333333333
V13C0004,60,45,4,2.4,0.6,0.0,0.7,0.3,,,,,8.146067415730338,11.183673469387754,-57.51977882039748,33.33333333333333
V13C0000,50,35,3,1.5,0.8,0.0,0.8,0.4,,,,,8.00561797752809,10.53061224489796,-23.894200766487742,31.914893617021278
